INDEX_NAME,INDEX_STRENGTH,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
Nifty 50,59.6,ASIANPAINT,ASIANPAINT,LARGE_CAP,2599.9,2.74,6.36,13.91,64,66.6,NA,12,18,62.21,STRONG_BULLISH,HOLD
Nifty 50,59.6,APOLLOHOSP,APOLLOHOSP,LARGE_CAP,8097,3.32,6.03,9.4,62.7,67.4,NA,14,18,51.11,STRONG_BULLISH,HOLD
Nifty 50,59.6,TITAN,TITAN,LARGE_CAP,4509,4.68,2.82,0.37,62,48.5,NA,12,14,62.9,STRONG_BULLISH,HOLD
Nifty 50,59.6,COALINDIA,COALINDIA,SMALL_CAP,456.4,-2.2,-5.2,1.59,59.3,61.8,NA,8,12,71.16,STRONG_BULLISH,HOLD
Nifty 50,59.6,TATACONSUM,Tata Consumer Products Limited,LARGE_CAP,1176.2,2.13,2.76,10.08,50,65.7,NA,11,18,NA,STRONG_BULLISH,HOLD
Nifty Pharma,55.72,APOLLOHOSP,APOLLOHOSP,LARGE_CAP,8097,3.32,6.03,9.4,62.7,67.4,NA,14,18,51.11,STRONG_BULLISH,HOLD
Nifty Pharma,55.72,AUROPHARMA,Aurobindo Pharma Limited,LARGE_CAP,1487.3,0.58,7.04,11.35,55.3,67.8,NA,15,8,67.41,STRONG_BULLISH,HOLD
Nifty Pharma,55.72,LUPIN,Lupin Limited,LARGE_CAP,2379.5,-3.28,3.22,3.72,55.3,56.5,NA,12,6,50.61,STRONG_BULLISH,HOLD
Nifty Pharma,55.72,GLENMARK,GLENMARK,LARGE_CAP,2366.4,-0.22,-1.66,8.88,54,65.8,NA,12,10,60.6,STRONG_BULLISH,HOLD
Nifty Pharma,55.72,BIOCON,Biocon Limited,SMALL_CAP,380.4,-0.48,5.77,8.75,51.3,69.9,NA,11,8,58.99,BULLISH,HOLD
Nifty 500,51.86,ASIANPAINT,ASIANPAINT,LARGE_CAP,2599.9,2.74,6.36,13.91,64,66.6,NA,12,18,62.21,STRONG_BULLISH,HOLD
