SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
BHARATFORG,BHARATFORG,LARGE_CAP,1992.9,6.36,4.46,19.24,76.0,68.6,13.71,23,16,,STRONG_BULLISH,BUY
ROSSTECH,ROSSTECH,SMALL_CAP,1043.05,8.63,3.67,36.15,74.7,61.7,53.42,23,14,,STRONG_BULLISH,BUY
ASTRAMICRO,ASTRAMICRO,LARGE_CAP,1162.5,6.83,4.9,16.61,74.0,63.4,28.17,25,14,,STRONG_BULLISH,BUY
GAEL,GAEL,MICRO_CAP,163.08,4.12,7.71,13.42,73.3,62.6,15.5,23,12,,STRONG_BULLISH,BUY
CGPOWER,CG Power and Industrial Solutions Limited,MID_CAP,859.1,3.64,4.06,23.81,73.3,76.3,23.69,25,16,,STRONG_BULLISH,BUY
POLYCAB,POLYCAB,LARGE_CAP,9003.0,6.98,10.49,24.57,72.7,77.0,16.11,23,14,,STRONG_BULLISH,BUY
J&KBANK,J&KBANK,MICRO_CAP,139.63,2.0,3.71,19.5,72.7,60.2,35.57,25,9,,STRONG_BULLISH,BUY
HONASA,HONASA,SMALL_CAP,354.6,2.74,2.44,17.17,72.7,61.4,16.87,18,16,,STRONG_BULLISH,BUY
THERMAX,THERMAX,LARGE_CAP,4182.3,2.59,4.82,30.14,72.7,52.9,39.44,21,16,,STRONG_BULLISH,BUY
PARAS,PARAS,MID_CAP,869.5,8.0,7.17,35.71,72.7,67.4,38.32,23,14,,STRONG_BULLISH,BUY
APEX,APEX,MID_CAP,501.3,6.92,5.51,31.77,72.0,70.0,13.65,19,14,,STRONG_BULLISH,BUY
UNIPARTS,UNIPARTS,MICRO_CAP,558.0,4.4,3.54,13.3,72.0,69.7,16.27,21,12,,STRONG_BULLISH,BUY
AVALON,AVALON,LARGE_CAP,1255.5,9.1,18.56,30.04,72.0,66.0,22.57,25,8,,STRONG_BULLISH,BUY
LINDEINDIA,LINDEINDIA,LARGE_CAP,7847.5,3.6,7.39,10.59,71.3,78.1,15.94,21,14,,STRONG_BULLISH,BUY
SKYGOLD,SKYGOLD,SMALL_CAP,497.05,3.77,8.4,34.59,71.3,75.3,35.9,23,12,,STRONG_BULLISH,BUY
CEIGALL,CEIGALL,SMALL_CAP,366.15,6.13,8.28,31.57,71.3,86.9,28.34,25,14,,STRONG_BULLISH,BUY
BAJAJCON,BAJAJCON,MID_CAP,521.35,6.37,13.01,34.39,71.3,73.5,42.57,21,14,,STRONG_BULLISH,BUY
DLINKINDIA,DLINKINDIA,MICRO_CAP,465.7,3.1,2.22,15.3,71.3,68.5,13.45,17,18,,STRONG_BULLISH,BUY
BELRISE,BELRISE,SMALL_CAP,227.94,2.62,6.53,19.91,70.7,66.7,24.5,21,10,,STRONG_BULLISH,BUY
KPIL,KPIL,SMALL_CAP,1297.9,1.37,2.66,18.81,70.7,68.8,17.67,21,13,,STRONG_BULLISH,BUY
ASHIANA,ASHIANA,MICRO_CAP,373.5,8.56,9.82,20.39,70.7,77.8,12.77,23,14,,STRONG_BULLISH,BUY
DCXINDIA,DCXINDIA,SMALL_CAP,220.92,6.59,10.82,30.07,70.7,73.1,23.61,23,14,,STRONG_BULLISH,BUY
MODEFENCE,MODEFENCE,MICRO_CAP,103.57,3.09,4.75,21.02,70.7,79.8,17.76,21,16,,STRONG_BULLISH,BUY
AEROFLEX,AEROFLEX,SMALL_CAP,413.6,19.99,35.53,68.34,70.0,76.2,81.48,25,8,,STRONG_BULLISH,BUY
MENONBE,MENONBE,MICRO_CAP,137.02,6.64,12.41,24.33,70.0,63.8,14.08,21,12,,STRONG_BULLISH,BUY
TDPOWERSYS,TDPOWERSYS,LARGE_CAP,1245.3,6.97,8.62,41.47,70.0,86.9,41.21,23,14,,STRONG_BULLISH,BUY
BANSALWIRE,BANSALWIRE,MICRO_CAP,326.35,4.67,6.77,28.63,70.0,62.0,20.56,23,14,,BULLISH,BUY
HAPPYFORGE,HAPPYFORGE,SMALL_CAP,1412.2,4.31,8.52,16.82,70.0,64.8,9.75,19,14,,STRONG_BULLISH,BUY
DMCC,DMCC,MICRO_CAP,312.4,8.17,9.55,50.45,70.0,61.9,29.65,23,14,,BULLISH,BUY
ABSLAMC,ABSLAMC,MID_CAP,1088.6,2.05,6.3,17.03,69.3,58.0,21.83,21,18,,STRONG_BULLISH,BUY
JSWINFRA,JSWINFRA,SMALL_CAP,281.2,2.93,2.95,20.01,69.3,58.8,11.57,21,18,,BULLISH,BUY
APOLLOPIPE,APOLLOPIPE,SMALL_CAP,498.8,10.81,10.98,17.39,69.3,64.4,50.13,25,10,,BULLISH,BUY
SATIN,SATIN,MICRO_CAP,203.79,5.17,12.31,38.78,69.3,76.9,32.71,23,9,,STRONG_BULLISH,BUY
APARINDS,APARINDS,LARGE_CAP,12801.0,3.37,3.34,26.09,69.3,68.5,27.56,21,13,,STRONG_BULLISH,BUY
MUNJALSHOW,MUNJALSHOW,MICRO_CAP,142.47,6.01,10.44,18.36,69.3,78.4,10.68,21,14,,STRONG_BULLISH,BUY
STYLAMIND,STYLAMIND,LARGE_CAP,2634.8,13.44,17.77,18.8,68.7,95.3,18.48,23,12,,STRONG_BULLISH,BUY
KEI,KEI,LARGE_CAP,5110.2,-0.75,3.55,20.62,68.7,70.4,12.21,23,8,,STRONG_BULLISH,BUY
ARVIND,ARVIND,SMALL_CAP,447.9,14.93,14.03,19.41,68.7,80.3,22.99,25,10,,STRONG_BULLISH,BUY
PNGJL,PNGJL,SMALL_CAP,711.35,1.99,6.39,18.74,68.7,72.2,24.8,21,13,,STRONG_BULLISH,BUY
PRIVISCL,PRIVISCL,SMALL_CAP,3493.5,3.1,5.3,17.3,68.0,90.5,21.51,21,18,,STRONG_BULLISH,BUY
RATNAMANI,RATNAMANI,SMALL_CAP,2827.1,3.29,6.11,28.1,68.0,84.8,14.5,21,16,,STRONG_BULLISH,BUY
ASAL,ASAL,MICRO_CAP,556.6,6.18,6.92,30.67,68.0,75.8,23.28,23,14,,BULLISH,BUY
INDOTHAI,INDOTHAI,SMALL_CAP,305.75,5.29,2.96,5.09,68.0,59.6,18.14,15,18,,BULLISH,BUY
FINCABLES,FINCABLES,LARGE_CAP,1087.9,4.06,8.44,34.23,68.0,86.7,36.06,23,14,,STRONG_BULLISH,BUY
IONEXCHANG,IONEXCHANG,MICRO_CAP,426.5,2.43,7.35,22.05,68.0,65.4,13.46,19,16,,STRONG_BULLISH,BUY
NAVA,Nava Bharat Ventures Limited,MID_CAP,715.8,2.42,7.42,27.1,68.0,71.4,30.27,20,13,,STRONG_BULLISH,BUY
DIACABS,DIACABS,MICRO_CAP,169.9,-4.08,5.31,32.68,67.3,69.4,26.68,23,6,,STRONG_BULLISH,BUY
SAMBHV,SAMBHV,MICRO_CAP,129.0,6.31,6.94,14.43,67.3,69.9,25.98,20,12,,STRONG_BULLISH,BUY
SANSERA,SANSERA,MID_CAP,2548.1,1.66,-0.34,18.48,67.3,60.8,13.48,18,13,,STRONG_BULLISH,BUY
HARSHA,HARSHA,SMALL_CAP,438.75,11.7,11.44,28.16,67.3,63.3,15.8,21,12,,BULLISH,BUY
