INDEX_NAME,INDEX_STRENGTH,SCORE_DATE,SYMBOL,COMPANY_NAME,SECTOR,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,TREND_SIGNAL,TRADING_SIGNAL,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,RANK,LEADERSHIP_SCORE,ROTATION_BUCKET
Nifty Pharma,54.12,2026-05-11,BIOCON,Biocon Limited,NA,SMALL_CAP,390.45,2.64,8.28,12.94,57.3,74.1,NA,BULLISH,HOLD,13,18,NA,58.99,NA,NA,NA,NA,NA,18,60.4,Leadership
Nifty Pharma,54.12,2026-05-11,GLENMARK,GLENMARK,NA,LARGE_CAP,2347.3,-0.81,-1.94,8.22,57.3,65.8,NA,STRONG_BULLISH,HOLD,12,10,NA,60.6,NA,NA,NA,NA,NA,18,60.4,Leadership
Nifty Pharma,54.12,2026-05-11,TORNTPHARM,Torrent Pharmaceuticals Limited,NA,LARGE_CAP,4517.1,3.11,6.24,10.32,57.3,71.3,NA,STRONG_BULLISH,HOLD,11,16,NA,56.67,NA,NA,NA,NA,NA,18,60.4,Leadership
Nifty Pharma,54.12,2026-05-11,APOLLOHOSP,APOLLOHOSP,NA,LARGE_CAP,8082,-0.19,4.45,8.03,50,69,NA,STRONG_BULLISH,HOLD,10,8,NA,51.11,NA,NA,NA,NA,NA,64,60.4,Leadership
Nifty Pharma,54.12,2026-05-11,AUROPHARMA,Aurobindo Pharma Limited,NA,LARGE_CAP,1486.6,-0.05,8.04,10.91,48.7,72.2,NA,STRONG_BULLISH,WEAK_HOLD,15,6,NA,67.41,NA,NA,NA,NA,NA,83,60.4,Leadership
Nifty 50,51.58,2026-05-11,MARICO,Marico Limited,NA,MID_CAP,842.55,1.35,7.39,12.74,53.3,88.1,NA,STRONG_BULLISH,HOLD,12,15,NA,55.39,NA,NA,NA,NA,NA,35,47.3,Lagging
Nifty 50,51.58,2026-05-11,COALINDIA,COALINDIA,NA,SMALL_CAP,464.45,1.76,-3.23,2.28,53.3,64.2,NA,STRONG_BULLISH,HOLD,9,12,NA,71.16,NA,NA,NA,NA,NA,35,47.3,Lagging
Nifty 50,51.58,2026-05-11,ASIANPAINT,ASIANPAINT,NA,LARGE_CAP,2566.1,-1.3,4.82,13.06,51.3,56.3,NA,STRONG_BULLISH,HOLD,8,8,NA,62.21,NA,NA,NA,NA,NA,50,47.3,Lagging
Nifty 50,51.58,2026-05-11,NTPC,NTPC Limited,NA,SMALL_CAP,392.95,-2.29,-1.77,3.78,50,45.5,NA,STRONG_BULLISH,HOLD,6,12,NA,52.87,NA,NA,NA,NA,NA,64,47.3,Lagging
Nifty 50,51.58,2026-05-11,APOLLOHOSP,APOLLOHOSP,NA,LARGE_CAP,8082,-0.19,4.45,8.03,50,69,NA,STRONG_BULLISH,HOLD,10,8,NA,51.11,NA,NA,NA,NA,NA,64,47.3,Lagging
Nifty Midcap 50,51.32,2026-05-11,BIOCON,Biocon Limited,NA,SMALL_CAP,390.45,2.64,8.28,12.94,57.3,74.1,NA,BULLISH,HOLD,13,18,NA,58.99,NA,NA,NA,NA,NA,18,53,Improving
Nifty Midcap 50,51.32,2026-05-11,MARICO,Marico Limited,NA,MID_CAP,842.55,1.35,7.39,12.74,53.3,88.1,NA,STRONG_BULLISH,HOLD,12,15,NA,55.39,NA,NA,NA,NA,NA,35,53,Improving
Nifty Midcap 50,51.32,2026-05-11,NTPC,NTPC Limited,NA,SMALL_CAP,392.95,-2.29,-1.77,3.78,50,45.5,NA,STRONG_BULLISH,HOLD,6,12,NA,52.87,NA,NA,NA,NA,NA,64,53,Improving
Nifty Midcap 50,51.32,2026-05-11,AUROPHARMA,Aurobindo Pharma Limited,NA,LARGE_CAP,1486.6,-0.05,8.04,10.91,48.7,72.2,NA,STRONG_BULLISH,WEAK_HOLD,15,6,NA,67.41,NA,NA,NA,NA,NA,83,53,Improving
Nifty Midcap 50,51.32,2026-05-11,TATACONSUM,Tata Consumer Products Limited,NA,LARGE_CAP,1271,8.06,9.53,17.9,47.3,76.1,NA,STRONG_BULLISH,WEAK_HOLD,14,14,NA,NA,NA,NA,NA,NA,NA,102,53,Improving
