SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
STYLAMIND,STYLAMIND,LARGE_CAP,2634.8,13.44,17.77,18.8,48.7,95.3,,18,12,,STRONG_BULLISH,WEAK_HOLD
PNGJL,PNGJL,SMALL_CAP,711.35,1.99,6.39,18.74,48.7,72.2,,16,13,,STRONG_BULLISH,WEAK_HOLD
TVSELECT,TVSELECT,MICRO_CAP,510.75,4.32,8.86,31.32,48.7,69.0,,13,14,,STRONG_BULLISH,WEAK_HOLD
ARVIND,ARVIND,SMALL_CAP,447.9,14.93,14.03,19.41,48.7,80.3,,20,10,,STRONG_BULLISH,WEAK_HOLD
PRICOLLTD,PRICOLLTD,SMALL_CAP,618.8,5.62,3.89,14.78,48.7,63.5,,13,14,,STRONG_BULLISH,WEAK_HOLD
KEI,KEI,LARGE_CAP,5110.2,-0.75,3.55,20.62,48.7,70.4,,18,8,,STRONG_BULLISH,WEAK_HOLD
ASAL,ASAL,MICRO_CAP,556.6,6.18,6.92,30.67,48.0,75.8,,18,14,,BULLISH,WEAK_HOLD
INDOTHAI,INDOTHAI,SMALL_CAP,305.75,5.29,2.96,5.09,48.0,59.6,,10,18,,BULLISH,WEAK_HOLD
RATNAMANI,RATNAMANI,SMALL_CAP,2827.1,3.29,6.11,28.1,48.0,84.8,,16,16,,STRONG_BULLISH,WEAK_HOLD
PRIVISCL,PRIVISCL,SMALL_CAP,3493.5,3.1,5.3,17.3,48.0,90.5,,16,18,,STRONG_BULLISH,WEAK_HOLD
FINCABLES,FINCABLES,LARGE_CAP,1087.9,4.06,8.44,34.23,48.0,86.7,,18,14,,STRONG_BULLISH,WEAK_HOLD
IONEXCHANG,IONEXCHANG,MICRO_CAP,426.5,2.43,7.35,22.05,48.0,65.4,,14,16,,STRONG_BULLISH,WEAK_HOLD
AVANTIFEED,AVANTIFEED,LARGE_CAP,1450.3,7.56,4.63,16.85,48.0,56.4,,11,14,,STRONG_BULLISH,WEAK_HOLD
NAVA,Nava Bharat Ventures Limited,MID_CAP,715.8,2.42,7.42,27.1,48.0,71.4,,15,13,,STRONG_BULLISH,WEAK_HOLD
JAMNAAUTO,JAMNAAUTO,MICRO_CAP,131.11,5.02,5.84,14.19,47.3,55.2,,13,14,,BULLISH,WEAK_HOLD
KERNEX,KERNEX,LARGE_CAP,1518.5,11.25,12.46,44.47,47.3,94.6,,18,14,,STRONG_BULLISH,WEAK_HOLD
HINDOILEXP,HINDOILEXP,MICRO_CAP,164.21,6.78,4.53,14.05,47.3,55.4,,14,14,,BULLISH,WEAK_HOLD
HARSHA,HARSHA,SMALL_CAP,438.75,11.7,11.44,28.16,47.3,63.3,,16,12,,BULLISH,WEAK_HOLD
SAMBHV,SAMBHV,MICRO_CAP,129.0,6.31,6.94,14.43,47.3,69.9,,15,12,,STRONG_BULLISH,WEAK_HOLD
NLCINDIA,NLCINDIA,SMALL_CAP,328.7,1.99,3.3,21.09,47.3,76.1,,16,13,,STRONG_BULLISH,WEAK_HOLD
SANSERA,SANSERA,MID_CAP,2548.1,1.66,-0.34,18.48,47.3,60.8,,13,13,,STRONG_BULLISH,WEAK_HOLD
MAHSEAMLES,MAHSEAMLES,MICRO_CAP,652.5,3.08,0.43,8.04,47.3,55.5,,11,18,,STRONG_BULLISH,WEAK_HOLD
ELGIEQUIP,ELGIEQUIP,SMALL_CAP,562.35,2.53,-0.62,16.51,47.3,59.3,,11,18,,STRONG_BULLISH,WEAK_HOLD
DIACABS,DIACABS,MICRO_CAP,169.9,-4.08,5.31,32.68,47.3,69.4,,18,6,,STRONG_BULLISH,WEAK_HOLD
IIFLCAPS,IIFLCAPS,SMALL_CAP,350.45,5.4,11.6,33.23,46.7,75.4,,16,14,,BULLISH,WEAK_HOLD
BERGEPAINT,BERGEPAINT,SMALL_CAP,488.25,2.05,5.27,13.59,46.7,59.7,,12,18,,BULLISH,WEAK_HOLD
BLAL,BLAL,MICRO_CAP,206.98,6.65,8.65,25.8,46.7,70.0,,14,16,,BULLISH,WEAK_HOLD
TEJASNET,TEJASNET,MID_CAP,533.4,15.16,28.02,27.38,46.7,80.0,,18,8,,STRONG_BULLISH,WEAK_HOLD
SGFIN,SGFIN,MID_CAP,605.15,2.32,6.96,34.03,46.7,73.0,,15,14,,STRONG_BULLISH,WEAK_HOLD
SHAKTIPUMP,SHAKTIPUMP,MID_CAP,595.4,3.9,6.12,17.37,46.7,66.4,,14,16,,BULLISH,WEAK_HOLD
CUMMINSIND,CUMMINSIND,LARGE_CAP,5403.0,1.47,2.17,16.47,46.7,75.9,,13,15,,STRONG_BULLISH,WEAK_HOLD
VAIBHAVGBL,VAIBHAVGBL,MICRO_CAP,233.49,3.46,6.16,21.16,46.7,63.5,,13,14,,BULLISH,WEAK_HOLD
QUADFUTURE,QUADFUTURE,SMALL_CAP,326.85,3.6,3.89,12.94,46.7,57.9,,12,18,,BULLISH,WEAK_HOLD
COALINDIA,COALINDIA,SMALL_CAP,466.65,-0.75,-2.76,0.79,46.7,74.0,,12,12,,STRONG_BULLISH,WEAK_HOLD
MOSCHIP,MOSCHIP,SMALL_CAP,228.06,8.95,11.87,37.76,46.7,74.6,,16,14,,BULLISH,WEAK_HOLD
AEROENTER,AEROENTER,MICRO_CAP,111.29,13.0,22.73,47.58,46.7,79.4,,18,12,,BULLISH,WEAK_HOLD
LUMAXTECH,LUMAXTECH,MID_CAP,1707.3,3.84,6.02,4.46,46.7,40.6,,9,16,,STRONG_BULLISH,WEAK_HOLD
MANINDS,MANINDS,SMALL_CAP,534.5,-0.31,2.38,40.2,46.7,59.3,,15,6,,STRONG_BULLISH,WEAK_HOLD
MAYURUNIQ,MAYURUNIQ,SMALL_CAP,605.1,5.33,8.53,13.06,46.7,62.6,,14,12,,BULLISH,WEAK_HOLD
MIDHANI,MIDHANI,SMALL_CAP,413.7,4.21,3.74,33.24,46.7,78.1,,16,14,,BULLISH,WEAK_HOLD
VESUVIUS,VESUVIUS,MICRO_CAP,529.35,0.71,2.62,16.98,46.0,68.7,,9,13,,STRONG_BULLISH,WEAK_HOLD
STAR,STAR,MID_CAP,1146.8,4.44,8.86,15.36,46.0,75.2,,18,9,,STRONG_BULLISH,WEAK_HOLD
CRAFTSMAN,CRAFTSMAN,LARGE_CAP,8637.0,11.09,11.44,28.06,46.0,79.8,,16,10,,STRONG_BULLISH,WEAK_HOLD
COSMOFIRST,COSMOFIRST,SMALL_CAP,769.05,6.1,7.93,23.39,46.0,74.4,,16,16,,BULLISH,WEAK_HOLD
NACLIND,NACLIND,MICRO_CAP,180.43,4.54,13.19,18.47,46.0,53.4,,18,8,,BULLISH,WEAK_HOLD
SUBROS,SUBROS,MICRO_CAP,804.9,2.76,3.35,16.72,46.0,58.4,,13,16,,BULLISH,WEAK_HOLD
ABB,ABB,LARGE_CAP,7188.0,0.08,-1.05,14.66,45.3,60.1,,13,11,,STRONG_BULLISH,WEAK_HOLD
SYRMA,SYRMA,LARGE_CAP,1093.4,3.21,12.02,35.25,45.3,73.9,,15,11,,STRONG_BULLISH,WEAK_HOLD
VINDHYATEL,VINDHYATEL,MID_CAP,1678.6,12.64,29.2,52.72,45.3,76.0,,18,10,,BULLISH,WEAK_HOLD
MTARTECH,MTARTECH,LARGE_CAP,6677.0,6.21,18.04,70.05,45.3,81.4,,16,14,,STRONG_BULLISH,WEAK_HOLD
BSE,BSE,LARGE_CAP,3963.6,2.89,9.02,34.32,45.3,83.2,,16,9,,STRONG_BULLISH,WEAK_HOLD
EXICOM,EXICOM,MICRO_CAP,122.69,3.49,9.2,37.18,45.3,61.1,,14,14,,BULLISH,WEAK_HOLD
BHEL,BHEL,SMALL_CAP,406.45,5.31,17.98,60.28,45.3,89.8,,16,14,,STRONG_BULLISH,WEAK_HOLD
KANSAINER,KANSAINER,SMALL_CAP,211.55,5.02,6.99,18.61,45.3,63.0,,14,14,,BULLISH,WEAK_HOLD
RICOAUTO,RICOAUTO,MICRO_CAP,124.1,6.83,7.67,14.72,45.3,57.5,,13,12,,BULLISH,WEAK_HOLD
GMRAIRPORT,GMRAIRPORT,MICRO_CAP,100.66,1.44,4.39,10.7,45.3,61.6,,11,11,,STRONG_BULLISH,WEAK_HOLD
PLATIND,PLATIND,MICRO_CAP,257.25,7.96,8.32,27.26,45.3,73.6,,16,12,,BULLISH,WEAK_HOLD
PRAKASH,PRAKASH,MICRO_CAP,153.47,0.46,6.08,21.29,45.3,66.1,,14,7,,STRONG_BULLISH,WEAK_HOLD
VETO,VETO,MICRO_CAP,117.07,4.27,6.28,20.63,45.3,72.1,,16,12,,BULLISH,WEAK_HOLD
PFOCUS,PFOCUS,SMALL_CAP,307.8,2.57,-2.07,-9.66,45.3,31.6,,11,16,,STRONG_BULLISH,WEAK_HOLD
RADICO,RADICO,LARGE_CAP,3407.0,1.48,-1.49,29.59,45.3,70.2,,14,11,,STRONG_BULLISH,WEAK_HOLD
WELSPUNLIV,WELSPUNLIV,MICRO_CAP,132.24,-0.5,1.5,10.84,44.7,67.5,,11,10,,STRONG_BULLISH,WEAK_HOLD
GLOBAL,GLOBAL,MICRO_CAP,116.5,2.28,12.28,19.25,44.7,75.6,,18,2,,STRONG_BULLISH,WEAK_HOLD
BORORENEW,BORORENEW,MID_CAP,565.55,3.8,11.91,34.11,44.7,77.4,,16,11,,BULLISH,WEAK_HOLD
BEML,BEML,LARGE_CAP,2000.2,5.39,9.33,31.62,44.7,77.9,,16,14,,BULLISH,WEAK_HOLD
VOLTAMP,VOLTAMP,LARGE_CAP,9638.0,-3.64,-18.27,7.31,44.7,48.3,,16,4,,STRONG_BULLISH,WEAK_HOLD
DEEPAKFERT,DEEPAKFERT,MID_CAP,1338.4,3.41,7.96,35.91,44.7,71.6,,13,14,,BULLISH,WEAK_HOLD
ORIENTELEC,ORIENTELEC,MICRO_CAP,192.09,4.57,3.19,23.96,44.7,70.2,,14,16,,BULLISH,WEAK_HOLD
NTPC,NTPC Limited,SMALL_CAP,400.35,1.39,-0.24,8.54,44.7,59.1,,11,12,,STRONG_BULLISH,WEAK_HOLD
VARROC,VARROC,MICRO_CAP,565.0,3.91,8.55,19.41,44.7,61.7,,13,14,,BULLISH,WEAK_HOLD
