SECTOR_NAME,SECTOR_STRENGTH,TOTAL_STOCKS,SCORE_DATE,SYMBOL,COMPANY_NAME,SECTOR,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,TREND_SIGNAL,TRADING_SIGNAL,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,RANK,LEADERSHIP_SCORE,ROTATION_BUCKET
Defence & Aerospace,61.86,15,2026-05-15,ASTRAMICRO,ASTRAMICRO,NA,LARGE_CAP,1106.6,-0.49,-3.56,2.97,64.7,46.7,16.99,STRONG_BULLISH,HOLD,14,4,NA,71.97,NA,NA,NA,NA,NA,107,62.4,Leadership
Defence & Aerospace,61.86,15,2026-05-15,AEROFLEX,AEROFLEX,NA,SMALL_CAP,370.85,2.74,-15.59,25.19,61.3,67.9,60.6,STRONG_BULLISH,HOLD,20,12,NA,10,NA,NA,NA,NA,NA,143,62.4,Leadership
Defence & Aerospace,61.86,15,2026-05-15,RRKABEL,RRKABEL,NA,LARGE_CAP,1953.8,-4.1,0.59,34.28,59.3,80.8,27.78,STRONG_BULLISH,HOLD,20,6,NA,48.48,NA,NA,NA,NA,NA,164,62.4,Leadership
Defence & Aerospace,61.86,15,2026-05-15,CHALET,CHALET,NA,MID_CAP,784.65,4.24,-0.58,2.08,59.3,46.3,-0.16,STRONG_BEARISH,HOLD,9,16,NA,66.69,NA,NA,NA,NA,NA,164,62.4,Leadership
Energy - Oil & Gas,60.54,16,2026-05-15,ATGL,ATGL,NA,MID_CAP,616.25,0.6,-2.65,3.12,68,46.5,23.11,BULLISH,BUY,16,5,NA,52.51,NA,NA,NA,NA,NA,65,46.5,Lagging
Energy - Oil & Gas,60.54,16,2026-05-15,BIOCON,Biocon Limited,NA,SMALL_CAP,430.1,2.65,13.07,22.62,66.7,94.5,13.08,STRONG_BULLISH,BUY,19,7,NA,58.99,NA,NA,NA,NA,NA,80,46.5,Lagging
Energy - Oil & Gas,60.54,16,2026-05-15,ONGC,Oil and Natural Gas Corporation Limited,NA,SMALL_CAP,299.35,-0.52,7.22,5.87,64.7,60.7,9.77,STRONG_BULLISH,HOLD,12,8,NA,64.8,NA,NA,NA,NA,NA,107,46.5,Lagging
Energy - Oil & Gas,60.54,16,2026-05-15,HINDOILEXP,HINDOILEXP,NA,MICRO_CAP,169.19,3.9,3.05,6.89,53.3,67.9,32.02,BULLISH,HOLD,16,11,NA,NA,NA,NA,NA,NA,NA,254,46.5,Lagging
Energy - Oil & Gas,60.54,16,2026-05-15,OIL,OIL,NA,MID_CAP,518.3,0.14,14.11,12.09,50,65.8,9.85,STRONG_BULLISH,HOLD,14,4,NA,NA,NA,NA,NA,NA,NA,325,46.5,Lagging
Logistics & Shipping,60,2,2026-05-15,ADANIPORTS,Adani Ports and Special Economic Zone Limited,NA,LARGE_CAP,1795.1,1.22,1.97,15.83,66,73.8,20.77,STRONG_BULLISH,BUY,19,13,NA,10,NA,NA,NA,NA,NA,91,71,Leadership
Logistics & Shipping,60,2,2026-05-15,CONCOR,CONCOR,NA,MID_CAP,518.8,-0.79,-2.98,3.3,54,59.9,7.41,BULLISH,HOLD,7,10,NA,54,NA,NA,NA,NA,NA,235,71,Leadership
FMCG & Consumer Goods,58.379999999999995,19,2026-05-15,MARICO,Marico Limited,NA,MID_CAP,841.15,0.74,1.18,13,65.3,76.6,9.4,STRONG_BULLISH,BUY,14,15,NA,55.39,NA,NA,NA,NA,NA,95,46,Lagging
FMCG & Consumer Goods,58.379999999999995,19,2026-05-15,NESTLEIND,Nestle India Limited,NA,LARGE_CAP,1430.5,-1.99,-3.5,13.77,62.7,52.9,13.49,STRONG_BULLISH,HOLD,17,8,NA,NA,NA,NA,NA,NA,NA,123,46,Lagging
