INDEX_NAME,INDEX_STRENGTH,SCORE_DATE,SYMBOL,COMPANY_NAME,SECTOR,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,TREND_SIGNAL,TRADING_SIGNAL,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,RANK,LEADERSHIP_SCORE,ROTATION_BUCKET
Nifty Midcap 50,67.06,2026-05-15,BIOCON,Biocon Limited,NA,SMALL_CAP,430.1,2.65,13.07,22.62,66.7,94.5,13.08,STRONG_BULLISH,BUY,19,7,NA,58.99,NA,NA,NA,NA,NA,80,56.7,Improving
Nifty Midcap 50,67.06,2026-05-15,ADANIPORTS,Adani Ports and Special Economic Zone Limited,NA,LARGE_CAP,1795.1,1.22,1.97,15.83,66,73.8,20.77,STRONG_BULLISH,BUY,19,13,NA,10,NA,NA,NA,NA,NA,91,56.7,Improving
Nifty Midcap 50,67.06,2026-05-15,MARICO,Marico Limited,NA,MID_CAP,841.15,0.74,1.18,13,65.3,76.6,9.4,STRONG_BULLISH,BUY,14,15,NA,55.39,NA,NA,NA,NA,NA,95,56.7,Improving
NIFTY SMLCAP 100,65.6,2026-05-15,AUROPHARMA,Aurobindo Pharma Limited,NA,LARGE_CAP,1511.8,0.06,1.65,9.04,70,74.1,26.62,STRONG_BULLISH,BUY,18,10,NA,67.41,NA,NA,NA,NA,NA,47,62.9,Leadership
NIFTY SMLCAP 100,65.6,2026-05-15,ADANIGREEN,Adani Green Energy Limited,NA,LARGE_CAP,1379,-2.54,1.71,23.25,67.3,65.9,48.31,STRONG_BULLISH,BUY,23,6,NA,10,NA,NA,NA,NA,NA,72,62.9,Leadership
NIFTY SMLCAP 100,65.6,2026-05-15,BIOCON,Biocon Limited,NA,SMALL_CAP,430.1,2.65,13.07,22.62,66.7,94.5,13.08,STRONG_BULLISH,BUY,19,7,NA,58.99,NA,NA,NA,NA,NA,80,62.9,Leadership
NIFTY SMLCAP 100,65.6,2026-05-15,MARICO,Marico Limited,NA,MID_CAP,841.15,0.74,1.18,13,65.3,76.6,9.4,STRONG_BULLISH,BUY,14,15,NA,55.39,NA,NA,NA,NA,NA,95,62.9,Leadership
NIFTY SMLCAP 100,65.6,2026-05-15,ADANIPOWER,Adani Power Limited,NA,SMALL_CAP,221.33,-1.41,-1.78,14.57,58.7,56.4,60.71,STRONG_BULLISH,HOLD,19,6,NA,10,NA,NA,NA,NA,NA,175,62.9,Leadership
NIFTY SMLCAP 50,65.6,2026-05-15,AUROPHARMA,Aurobindo Pharma Limited,NA,LARGE_CAP,1511.8,0.06,1.65,9.04,70,74.1,26.62,STRONG_BULLISH,BUY,18,10,NA,67.41,NA,NA,NA,NA,NA,47,63.3,Leadership
NIFTY SMLCAP 50,65.6,2026-05-15,ADANIGREEN,Adani Green Energy Limited,NA,LARGE_CAP,1379,-2.54,1.71,23.25,67.3,65.9,48.31,STRONG_BULLISH,BUY,23,6,NA,10,NA,NA,NA,NA,NA,72,63.3,Leadership
NIFTY SMLCAP 50,65.6,2026-05-15,BIOCON,Biocon Limited,NA,SMALL_CAP,430.1,2.65,13.07,22.62,66.7,94.5,13.08,STRONG_BULLISH,BUY,19,7,NA,58.99,NA,NA,NA,NA,NA,80,63.3,Leadership
NIFTY SMLCAP 50,65.6,2026-05-15,MARICO,Marico Limited,NA,MID_CAP,841.15,0.74,1.18,13,65.3,76.6,9.4,STRONG_BULLISH,BUY,14,15,NA,55.39,NA,NA,NA,NA,NA,95,63.3,Leadership
NIFTY SMLCAP 50,65.6,2026-05-15,ADANIPOWER,Adani Power Limited,NA,SMALL_CAP,221.33,-1.41,-1.78,14.57,58.7,56.4,60.71,STRONG_BULLISH,HOLD,19,6,NA,10,NA,NA,NA,NA,NA,175,63.3,Leadership
NIFTY SMLCAP 250,65.6,2026-05-15,AUROPHARMA,Aurobindo Pharma Limited,NA,LARGE_CAP,1511.8,0.06,1.65,9.04,70,74.1,26.62,STRONG_BULLISH,BUY,18,10,NA,67.41,NA,NA,NA,NA,NA,47,61,Leadership
NIFTY SMLCAP 250,65.6,2026-05-15,ADANIGREEN,Adani Green Energy Limited,NA,LARGE_CAP,1379,-2.54,1.71,23.25,67.3,65.9,48.31,STRONG_BULLISH,BUY,23,6,NA,10,NA,NA,NA,NA,NA,72,61,Leadership
NIFTY SMLCAP 250,65.6,2026-05-15,BIOCON,Biocon Limited,NA,SMALL_CAP,430.1,2.65,13.07,22.62,66.7,94.5,13.08,STRONG_BULLISH,BUY,19,7,NA,58.99,NA,NA,NA,NA,NA,80,61,Leadership
NIFTY SMLCAP 250,65.6,2026-05-15,MARICO,Marico Limited,NA,MID_CAP,841.15,0.74,1.18,13,65.3,76.6,9.4,STRONG_BULLISH,BUY,14,15,NA,55.39,NA,NA,NA,NA,NA,95,61,Leadership
NIFTY SMLCAP 250,65.6,2026-05-15,ADANIPOWER,Adani Power Limited,NA,SMALL_CAP,221.33,-1.41,-1.78,14.57,58.7,56.4,60.71,STRONG_BULLISH,HOLD,19,6,NA,10,NA,NA,NA,NA,NA,175,61,Leadership
Nifty 200,65.34,2026-05-15,SUNPHARMA,SUNPHARMA,NA,LARGE_CAP,1878.2,0.81,1.64,10.93,68,83,10.87,STRONG_BULLISH,BUY,16,13,NA,54.04,NA,NA,NA,NA,NA,65,47.1,Lagging
Nifty 200,65.34,2026-05-15,ADANIGREEN,Adani Green Energy Limited,NA,LARGE_CAP,1379,-2.54,1.71,23.25,67.3,65.9,48.31,STRONG_BULLISH,BUY,23,6,NA,10,NA,NA,NA,NA,NA,72,47.1,Lagging
Nifty 200,65.34,2026-05-15,ADANIPORTS,Adani Ports and Special Economic Zone Limited,NA,LARGE_CAP,1795.1,1.22,1.97,15.83,66,73.8,20.77,STRONG_BULLISH,BUY,19,13,NA,10,NA,NA,NA,NA,NA,91,47.1,Lagging
Nifty 200,65.34,2026-05-15,NESTLEIND,Nestle India Limited,NA,LARGE_CAP,1430.5,-1.99,-3.5,13.77,62.7,52.9,13.49,STRONG_BULLISH,HOLD,17,8,NA,NA,NA,NA,NA,NA,NA,123,47.1,Lagging
Nifty 200,65.34,2026-05-15,ADANIENT,Adani Enterprises Limited,NA,LARGE_CAP,2716,0.11,8.38,23.25,62.7,77.4,28.38,BULLISH,HOLD,23,6,NA,10,NA,NA,NA,NA,NA,123,47.1,Lagging
Nifty Next 50,64,2026-05-15,ADANIGREEN,Adani Green Energy Limited,NA,LARGE_CAP,1379,-2.54,1.71,23.25,67.3,65.9,48.31,STRONG_BULLISH,BUY,23,6,NA,10,NA,NA,NA,NA,NA,72,51.4,Improving
Nifty Next 50,64,2026-05-15,ADANIPORTS,Adani Ports and Special Economic Zone Limited,NA,LARGE_CAP,1795.1,1.22,1.97,15.83,66,73.8,20.77,STRONG_BULLISH,BUY,19,13,NA,10,NA,NA,NA,NA,NA,91,51.4,Improving
Nifty Next 50,64,2026-05-15,MARICO,Marico Limited,NA,MID_CAP,841.15,0.74,1.18,13,65.3,76.6,9.4,STRONG_BULLISH,BUY,14,15,NA,55.39,NA,NA,NA,NA,NA,95,51.4,Improving
Nifty Next 50,64,2026-05-15,ADANIENT,Adani Enterprises Limited,NA,LARGE_CAP,2716,0.11,8.38,23.25,62.7,77.4,28.38,BULLISH,HOLD,23,6,NA,10,NA,NA,NA,NA,NA,123,51.4,Improving
Nifty Next 50,64,2026-05-15,NTPC,NTPC Limited,NA,SMALL_CAP,395.25,-0.26,-1.72,1.14,58.7,43.6,6.24,STRONG_BULLISH,HOLD,9,10,NA,52.87,NA,NA,NA,NA,NA,175,51.4,Improving
Nifty Infrastructure,63.2,2026-05-15,ADANIGREEN,Adani Green Energy Limited,NA,LARGE_CAP,1379,-2.54,1.71,23.25,67.3,65.9,48.31,STRONG_BULLISH,BUY,23,6,NA,10,NA,NA,NA,NA,NA,72,65.4,Leadership
Nifty Infrastructure,63.2,2026-05-15,ADANIPORTS,Adani Ports and Special Economic Zone Limited,NA,LARGE_CAP,1795.1,1.22,1.97,15.83,66,73.8,20.77,STRONG_BULLISH,BUY,19,13,NA,10,NA,NA,NA,NA,NA,91,65.4,Leadership
Nifty Infrastructure,63.2,2026-05-15,BHEL,BHEL,NA,SMALL_CAP,398.3,-3.59,-1.56,28.79,65.3,71.1,53.07,STRONG_BULLISH,BUY,20,6,NA,53.94,NA,NA,NA,NA,NA,95,65.4,Leadership
Nifty Infrastructure,63.2,2026-05-15,NTPC,NTPC Limited,NA,SMALL_CAP,395.25,-0.26,-1.72,1.14,58.7,43.6,6.24,STRONG_BULLISH,HOLD,9,10,NA,52.87,NA,NA,NA,NA,NA,175,65.4,Leadership
Nifty Infrastructure,63.2,2026-05-15,ADANIPOWER,Adani Power Limited,NA,SMALL_CAP,221.33,-1.41,-1.78,14.57,58.7,56.4,60.71,STRONG_BULLISH,HOLD,19,6,NA,10,NA,NA,NA,NA,NA,175,65.4,Leadership
Nifty Energy,60.94,2026-05-15,ADANIGREEN,Adani Green Energy Limited,NA,LARGE_CAP,1379,-2.54,1.71,23.25,67.3,65.9,48.31,STRONG_BULLISH,BUY,23,6,NA,10,NA,NA,NA,NA,NA,72,53.7,Improving
Nifty Energy,60.94,2026-05-15,ONGC,Oil and Natural Gas Corporation Limited,NA,SMALL_CAP,299.35,-0.52,7.22,5.87,64.7,60.7,9.77,STRONG_BULLISH,HOLD,12,8,NA,64.8,NA,NA,NA,NA,NA,107,53.7,Improving
Nifty Energy,60.94,2026-05-15,NTPC,NTPC Limited,NA,SMALL_CAP,395.25,-0.26,-1.72,1.14,58.7,43.6,6.24,STRONG_BULLISH,HOLD,9,10,NA,52.87,NA,NA,NA,NA,NA,175,53.7,Improving
Nifty Energy,60.94,2026-05-15,ADANIPOWER,Adani Power Limited,NA,SMALL_CAP,221.33,-1.41,-1.78,14.57,58.7,56.4,60.71,STRONG_BULLISH,HOLD,19,6,NA,10,NA,NA,NA,NA,NA,175,53.7,Improving
Nifty Energy,60.94,2026-05-15,POWERGRID,Power Grid Corporation of India Limited,NA,SMALL_CAP,305.85,1.36,-2.58,-2.05,55.3,34.2,5.15,STRONG_BULLISH,HOLD,9,8,NA,54.35,NA,NA,NA,NA,NA,209,53.7,Improving
Nifty FMCG,58.379999999999995,2026-05-15,MARICO,Marico Limited,NA,MID_CAP,841.15,0.74,1.18,13,65.3,76.6,9.4,STRONG_BULLISH,BUY,14,15,NA,55.39,NA,NA,NA,NA,NA,95,47.8,Lagging
Nifty FMCG,58.379999999999995,2026-05-15,NESTLEIND,Nestle India Limited,NA,LARGE_CAP,1430.5,-1.99,-3.5,13.77,62.7,52.9,13.49,STRONG_BULLISH,HOLD,17,8,NA,NA,NA,NA,NA,NA,NA,123,47.8,Lagging
Nifty FMCG,58.379999999999995,2026-05-15,RADICO,RADICO,NA,LARGE_CAP,3499.2,1.1,0.63,15.24,57.3,73.2,34.81,STRONG_BULLISH,HOLD,16,11,NA,NA,NA,NA,NA,NA,NA,187,47.8,Lagging
Nifty FMCG,58.379999999999995,2026-05-15,VBL,VBL,NA,MID_CAP,503.8,-0.27,-0.99,9.43,53.3,56.7,14.35,BULLISH,HOLD,14,8,NA,NA,NA,NA,NA,NA,NA,254,47.8,Lagging
Nifty FMCG,58.379999999999995,2026-05-15,TATACONSUM,Tata Consumer Products Limited,NA,LARGE_CAP,1234,0.46,4.91,11.92,53.3,61.4,10.89,STRONG_BULLISH,HOLD,15,9,NA,NA,NA,NA,NA,NA,NA,254,47.8,Lagging
Nifty 100,55.74,2026-05-15,SUNPHARMA,SUNPHARMA,NA,LARGE_CAP,1878.2,0.81,1.64,10.93,68,83,10.87,STRONG_BULLISH,BUY,16,13,NA,54.04,NA,NA,NA,NA,NA,65,44.3,Lagging
Nifty 100,55.74,2026-05-15,NESTLEIND,Nestle India Limited,NA,LARGE_CAP,1430.5,-1.99,-3.5,13.77,62.7,52.9,13.49,STRONG_BULLISH,HOLD,17,8,NA,NA,NA,NA,NA,NA,NA,123,44.3,Lagging
Nifty 100,55.74,2026-05-15,ASIANPAINT,ASIANPAINT,NA,LARGE_CAP,2605.6,-0.63,0.22,6.77,60.7,63.1,12.4,BULLISH,HOLD,12,6,NA,62.21,NA,NA,NA,NA,NA,149,44.3,Lagging
Nifty 100,55.74,2026-05-15,BHARTIARTL,Bharti Airtel Limited,NA,LARGE_CAP,1905.4,1.16,3.86,3.52,48,60.7,4.13,STRONG_BEARISH,WEAK_HOLD,8,6,NA,52.75,NA,NA,NA,NA,NA,366,44.3,Lagging
Nifty 100,55.74,2026-05-15,TITAN,TITAN,NA,LARGE_CAP,4169.1,0.82,-7.54,-6.55,39.3,38,-0.92,STRONG_BULLISH,WEAK_HOLD,1,8,NA,62.9,NA,NA,NA,NA,NA,517,44.3,Lagging
Nifty Consumer Durables,52.42,2026-05-15,CROMPTON,CROMPTON,NA,SMALL_CAP,301.95,4.5,2.95,15.7,78.7,79.9,19.85,STRONG_BULLISH,BUY,21,13,NA,57.18,NA,NA,NA,NA,NA,14,56.3,Improving
Nifty Consumer Durables,52.42,2026-05-15,BUTTERFLY,BUTTERFLY,NA,MID_CAP,711.6,1.64,13.97,15.28,60.7,79.4,21.01,STRONG_BULLISH,HOLD,16,6,NA,51.8,NA,NA,NA,NA,NA,149,56.3,Improving
