INDEX_NAME,INDEX_STRENGTH,SCORE_DATE,SYMBOL,COMPANY_NAME,SECTOR,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,TREND_SIGNAL,TRADING_SIGNAL,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,RANK,LEADERSHIP_SCORE,ROTATION_BUCKET
Nifty IT,33.46,2026-05-15,WIPRO,Wipro Limited,NA,MICRO_CAP,190,0.9,-4,-9.64,23.3,32.3,-2.71,STRONG_BEARISH,SELL,0,8,NA,NA,NA,NA,NA,NA,NA,743,34,Lagging
Nifty IT,33.46,2026-05-15,MPHASIS,MPHASIS,NA,LARGE_CAP,2083.2,-1.51,-5.92,-14.69,18,38.2,-6.54,STRONG_BEARISH,SELL,0,10,NA,NA,NA,NA,NA,NA,NA,794,34,Lagging
Nifty Bank,30.52,2026-05-15,FEDERALBNK,Federal Bank Limited,NA,SMALL_CAP,281.3,0.37,-5.37,-1.09,33.3,35.8,-3.44,STRONG_BULLISH,SELL,1,6,NA,55.83,NA,NA,NA,NA,NA,609,39.2,Lagging
Nifty Bank,30.52,2026-05-15,INDUSINDBK,INDUSINDBK,NA,MID_CAP,886.4,-2.37,-6.77,4.54,31.3,58.1,-4.61,STRONG_BULLISH,SELL,6,8,NA,NA,NA,NA,NA,NA,NA,642,39.2,Lagging
Nifty Bank,30.52,2026-05-15,CANBK,Canara Bank,NA,MICRO_CAP,128.07,-2.12,-4.67,-9.19,30.7,24.3,-15.87,STRONG_BEARISH,SELL,3,12,NA,54.62,NA,NA,NA,NA,NA,651,39.2,Lagging
Nifty Bank,30.52,2026-05-15,KOTAKBANK,Kotak Mahindra Bank Limited,NA,SMALL_CAP,387.05,1,1.64,2.08,29.3,66.1,-4.04,BULLISH,SELL,4,13,NA,NA,NA,NA,NA,NA,NA,668,39.2,Lagging
Nifty Bank,30.52,2026-05-15,BANKBARODA,Bank of Baroda,NA,SMALL_CAP,261.4,-2.39,-0.95,-6.44,28,37.4,-16.06,STRONG_BEARISH,SELL,0,12,NA,53.65,NA,NA,NA,NA,NA,685,39.2,Lagging
Nifty Realty,23.34,2026-05-15,OBEROIRLTY,OBEROIRLTY,NA,LARGE_CAP,1617.2,-1.25,-5.04,-5.45,35.3,38.4,8.94,STRONG_BEARISH,WEAK_HOLD,7,8,NA,NA,NA,NA,NA,NA,NA,581,29.8,Lagging
Nifty Realty,23.34,2026-05-15,GODREJPROP,GODREJPROP,NA,LARGE_CAP,1714.1,-1.12,-8.51,-1.91,24.7,45,1.77,STRONG_BEARISH,SELL,4,2,NA,NA,NA,NA,NA,NA,NA,723,29.8,Lagging
Nifty Realty,23.34,2026-05-15,PRESTIGE,PRESTIGE,NA,LARGE_CAP,1342.2,-2.01,-10.95,0.32,22.7,46.1,-0.9,BULLISH,SELL,3,2,NA,NA,NA,NA,NA,NA,NA,751,29.8,Lagging
Nifty Realty,23.34,2026-05-15,DLF,DLF,NA,MID_CAP,566.75,-2.83,-6.82,-3.89,18,43.5,-3.4,STRONG_BEARISH,SELL,0,4,NA,NA,NA,NA,NA,NA,NA,794,29.8,Lagging
Nifty Realty,23.34,2026-05-15,LODHA,LODHA,NA,MID_CAP,849.95,-2.62,-11.66,-2.7,16,51.5,-11.25,BULLISH,SELL,3,2,NA,NA,NA,NA,NA,NA,NA,820,29.8,Lagging
Nifty PSU Bank,22.4,2026-05-15,CANBK,Canara Bank,NA,MICRO_CAP,128.07,-2.12,-4.67,-9.19,30.7,24.3,-15.87,STRONG_BEARISH,SELL,3,12,NA,54.62,NA,NA,NA,NA,NA,651,29.1,Lagging
Nifty PSU Bank,22.4,2026-05-15,BANKBARODA,Bank of Baroda,NA,SMALL_CAP,261.4,-2.39,-0.95,-6.44,28,37.4,-16.06,STRONG_BEARISH,SELL,0,12,NA,53.65,NA,NA,NA,NA,NA,685,29.1,Lagging
Nifty PSU Bank,22.4,2026-05-15,INDIANB,Indian Bank,NA,MID_CAP,820.6,-1.34,-5.19,-12.71,19.3,29,-14.41,BULLISH,SELL,1,10,NA,NA,NA,NA,NA,NA,NA,780,29.1,Lagging
Nifty PSU Bank,22.4,2026-05-15,SBIN,State Bank of India,NA,MID_CAP,963.2,-1.7,-5.5,-9.74,18,22.8,-17.1,BULLISH,SELL,1,6,NA,NA,NA,NA,NA,NA,NA,794,29.1,Lagging
Nifty PSU Bank,22.4,2026-05-15,UNIONBANK,Union Bank of India,NA,MICRO_CAP,161.94,-1.8,-2.59,-14.09,16,25.3,-17.19,BULLISH,SELL,1,10,NA,NA,NA,NA,NA,NA,NA,820,29.1,Lagging
