SECTOR_NAME,SECTOR_STRENGTH,TOTAL_STOCKS,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
Pharma & Healthcare,57.2,16,APOLLOHOSP,APOLLOHOSP,LARGE_CAP,8097,3.32,6.03,9.4,62.7,67.4,NA,14,18,51.11,STRONG_BULLISH,HOLD
Pharma & Healthcare,57.2,16,NATCOPHARM,NATCOPHARM,LARGE_CAP,1174.7,1.69,7.21,5.6,58.7,64.4,NA,14,9,53.91,STRONG_BULLISH,HOLD
Pharma & Healthcare,57.2,16,AUROPHARMA,Aurobindo Pharma Limited,LARGE_CAP,1487.3,0.58,7.04,11.35,55.3,67.8,NA,15,8,67.41,STRONG_BULLISH,HOLD
Pharma & Healthcare,57.2,16,LUPIN,Lupin Limited,LARGE_CAP,2379.5,-3.28,3.22,3.72,55.3,56.5,NA,12,6,50.61,STRONG_BULLISH,HOLD
Pharma & Healthcare,57.2,16,GLENMARK,GLENMARK,LARGE_CAP,2366.4,-0.22,-1.66,8.88,54,65.8,NA,12,10,60.6,STRONG_BULLISH,HOLD
Chemicals,53.32,20,CHEMCON,CHEMCON,MICRO_CAP,178.48,4.66,10.97,19.11,59.3,68,NA,14,10,71.15,BULLISH,HOLD
Chemicals,53.32,20,CHEMFAB,CHEMFAB,SMALL_CAP,470.85,8.63,15.21,26.4,57.3,80.1,NA,18,10,71.93,BULLISH,HOLD
Chemicals,53.32,20,DEEPAKFERT,DEEPAKFERT,LARGE_CAP,1342,0.27,6.07,27.89,54.7,68.9,NA,13,6,70.76,BULLISH,HOLD
Chemicals,53.32,20,BALAJITELE,BALAJITELE,MICRO_CAP,123.23,0.24,25.12,32.22,49.3,89.1,NA,18,2,53.41,STRONG_BULLISH,WEAK_HOLD
Chemicals,53.32,20,CHEMPLASTS,CHEMPLASTS,SMALL_CAP,241.55,3.36,5.66,-3.52,46,53.5,NA,5,16,66.26,STRONG_BEARISH,WEAK_HOLD
Defence & Aerospace,51.98,14,BHARATFORG,BHARATFORG,LARGE_CAP,1989.7,-0.16,5.75,11.69,60.7,67.6,NA,18,8,54.83,STRONG_BULLISH,HOLD
Defence & Aerospace,51.98,14,ASTRAMICRO,ASTRAMICRO,LARGE_CAP,1147.4,-1.3,1.97,13.83,59.3,58.3,NA,16,6,71.97,STRONG_BULLISH,HOLD
Defence & Aerospace,51.98,14,MIDHANI,MIDHANI,SMALL_CAP,421.25,1.82,8.04,31.31,47.3,78.9,NA,18,9,NA,STRONG_BULLISH,WEAK_HOLD
Defence & Aerospace,51.98,14,BELRISE,BELRISE,SMALL_CAP,222.39,-2.43,4.55,14.51,47.3,57.2,NA,13,8,53.29,STRONG_BULLISH,WEAK_HOLD
Defence & Aerospace,51.98,14,BEML,BEML,LARGE_CAP,1950.9,-2.46,8.02,23.01,45.3,68.5,NA,12,6,52.07,BULLISH,WEAK_HOLD
Infrastructure,51.2,22,ABB,ABB,LARGE_CAP,7012.5,-2.44,-3.01,6.82,54,49.4,NA,11,8,61.29,STRONG_BULLISH,HOLD
Infrastructure,51.2,22,SIEMENS,SIEMENS,LARGE_CAP,3822.6,-1.26,0.38,18.49,53.3,61.7,NA,13,8,51.32,STRONG_BULLISH,HOLD
Infrastructure,51.2,22,THERMAX,THERMAX,LARGE_CAP,4677.5,11.84,14.71,42.1,52.7,68.5,NA,20,12,NA,STRONG_BULLISH,HOLD
Infrastructure,51.2,22,POWERGRID,Power Grid Corporation of India Limited,SMALL_CAP,313.95,0.05,-1.38,6.48,48.7,40.7,NA,9,12,54.35,STRONG_BULLISH,WEAK_HOLD
Infrastructure,51.2,22,NTPC,NTPC Limited,SMALL_CAP,402.15,0.45,0.75,7.48,47.3,58.3,NA,9,12,52.87,STRONG_BULLISH,WEAK_HOLD
Metals & Mining,49.18,21,COALINDIA,COALINDIA,SMALL_CAP,456.4,-2.2,-5.2,1.59,59.3,61.8,NA,8,12,71.16,STRONG_BULLISH,HOLD
Metals & Mining,49.18,21,TATACONSUM,Tata Consumer Products Limited,LARGE_CAP,1176.2,2.13,2.76,10.08,50,65.7,NA,11,18,NA,STRONG_BULLISH,HOLD
Metals & Mining,49.18,21,TATAPOWER,Tata Power Company Limited,SMALL_CAP,436,-0.74,-1.92,10.39,46,55.6,NA,13,10,56.55,STRONG_BULLISH,WEAK_HOLD
Metals & Mining,49.18,21,HINDALCO,Hindalco Industries Limited,LARGE_CAP,1044.4,-1.07,0.62,9.73,45.3,51.6,NA,11,8,52.87,STRONG_BULLISH,WEAK_HOLD
Metals & Mining,49.18,21,SAILIFE,SAILIFE,LARGE_CAP,1115.6,2.38,4.32,14.59,45.3,79.3,NA,13,18,NA,STRONG_BULLISH,WEAK_HOLD
Energy - Power,49.08,22,POWERINDIA,POWERINDIA,LARGE_CAP,34005,-2.49,1.36,31.22,52.7,78.7,NA,16,6,54.8,STRONG_BULLISH,HOLD
Energy - Power,49.08,22,TORNTPOWER,TORNTPOWER,LARGE_CAP,1724.4,0.69,-0.67,19.06,48.7,67.9,NA,13,6,66.97,STRONG_BULLISH,WEAK_HOLD
Energy - Power,49.08,22,POWERGRID,Power Grid Corporation of India Limited,SMALL_CAP,313.95,0.05,-1.38,6.48,48.7,40.7,NA,9,12,54.35,STRONG_BULLISH,WEAK_HOLD
Energy - Power,49.08,22,CGPOWER,CG Power and Industrial Solutions Limited,MID_CAP,873.55,1.68,7.4,20.27,48,75.8,NA,15,8,55.37,STRONG_BULLISH,WEAK_HOLD
Energy - Power,49.08,22,NTPC,NTPC Limited,SMALL_CAP,402.15,0.45,0.75,7.48,47.3,58.3,NA,9,12,52.87,STRONG_BULLISH,WEAK_HOLD
FMCG & Consumer Goods,49.06,22,BASF,BASF,LARGE_CAP,4029.8,4.47,10.65,12.62,52,70.2,NA,16,5,64.85,BULLISH,HOLD
FMCG & Consumer Goods,49.06,22,DABUR,Dabur India Limited,SMALL_CAP,487.7,3.77,10.46,14.15,52,73,NA,13,16,51.29,STRONG_BEARISH,HOLD
FMCG & Consumer Goods,49.06,22,TATACONSUM,Tata Consumer Products Limited,LARGE_CAP,1176.2,2.13,2.76,10.08,50,65.7,NA,11,18,NA,STRONG_BULLISH,HOLD
FMCG & Consumer Goods,49.06,22,RADICO,RADICO,LARGE_CAP,3477.2,2.06,1.58,25.88,47.3,67.4,NA,14,11,NA,STRONG_BULLISH,WEAK_HOLD
FMCG & Consumer Goods,49.06,22,COLPAL,Colgate-Palmolive (India) Limited,LARGE_CAP,2197.4,1.4,4.83,15.23,44,63.3,NA,8,15,53.47,BULLISH,WEAK_HOLD
