INDEX_NAME,INDEX_STRENGTH,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
Nifty Next 50,56.94,DIVISLAB,DIVISLAB,LARGE_CAP,6702.5,0.01,2.58,14.57,54,78.2,6.79,13,13,NA,BULLISH,HOLD
Nifty Next 50,56.94,MARICO,Marico Limited,MID_CAP,832.15,2.13,6.78,10.47,52.7,89.3,7.02,14,10,NA,STRONG_BULLISH,HOLD
Nifty 500,56.54,HINDALCO,Hindalco Industries Limited,LARGE_CAP,1055.7,0.95,-1.08,10.6,60.7,55.1,16.93,18,8,NA,STRONG_BULLISH,HOLD
Nifty 500,56.54,JSWSTEEL,JSW Steel Limited,LARGE_CAP,1283.4,0.79,0.29,11.42,56,68.9,4.84,9,13,NA,STRONG_BULLISH,HOLD
Nifty 500,56.54,ADANIPORTS,Adani Ports and Special Economic Zone Limited,LARGE_CAP,1732.8,-0.89,4.32,25.47,56,80.2,14.86,18,8,NA,STRONG_BULLISH,HOLD
Nifty 500,56.54,ASIANPAINT,ASIANPAINT,LARGE_CAP,2530.6,0.46,3.4,15.75,55.3,62.4,5.76,12,10,NA,STRONG_BULLISH,HOLD
Nifty 500,56.54,TATASTEEL,Tata Steel Limited,SMALL_CAP,217.09,0.75,0.56,9.57,54.7,63.3,6.04,12,10,NA,STRONG_BULLISH,HOLD
Nifty Energy,56.4,NTPC,NTPC Limited,SMALL_CAP,400.35,1.39,-0.24,8.54,64.7,59.1,10.59,16,12,NA,STRONG_BULLISH,HOLD
Nifty Energy,56.4,POWERGRID,Power Grid Corporation of India Limited,SMALL_CAP,313.8,-0.68,-2.04,6.23,57.3,52.8,6.86,12,12,NA,STRONG_BULLISH,HOLD
Nifty Energy,56.4,TATAPOWER,Tata Power Company Limited,SMALL_CAP,439.25,-0.9,-2.71,13.3,56,58.7,19.3,18,10,NA,STRONG_BULLISH,HOLD
Nifty Energy,56.4,TORNTPOWER,TORNTPOWER,SMALL_CAP,1712.5,-1.24,0.63,22.37,53.3,70.1,15.09,18,6,NA,STRONG_BULLISH,HOLD
Nifty Energy,56.4,ADANIGREEN,Adani Green Energy Limited,LARGE_CAP,1365,0.89,9.66,47.51,50.7,89.8,40.14,20,6,NA,STRONG_BULLISH,HOLD
NIFTY SMLCAP 100,54.82,AUROPHARMA,Aurobindo Pharma Limited,LARGE_CAP,1478.7,-0.36,5.86,11.18,62,66.7,26.59,20,8,NA,STRONG_BULLISH,HOLD
