"symbol","ENHANCED_FUND_SCORE","EARNINGS_QUALITY","SALES_GROWTH","FINANCIAL_STRENGTH","INSTITUTIONAL_BACKING","processed_date","processing_batch","batch_number"
"BSE500IETF",10,10,10,10,10,NA,"20250812_1149",11
"BSHSL",76.04,83.82,86,61.94,57.5,NA,"20250812_1150",11
"BSL",55.92,53.7,61,55.45,54,NA,"20250812_1151",11
"BSLGOLDETF",10,10,10,10,10,NA,"20250812_1151",11
"BSLNIFTY",10,10,10,10,10,NA,"20250812_1152",11
"BSLSENETFG",10,10,10,10,10,NA,"20250812_1152",11
"BSOFT",55.22,53.91,51,57.27,63,NA,"20250812_1153",11
"BTML",72.5,75.43,94,58.86,47,NA,"20250812_1154",11
"BURNPUR",54.39,61.19,53,52.37,41.25,NA,"20250812_1155",11
"BUTTERFLY",51.8,50.22,47,57.05,57,NA,"20250812_1155",12
"BVCL",69.53,73.91,86,61.36,41.25,NA,"20250812_1156",12
"BYKE",69.11,72.61,86,56.82,48,NA,"20250812_1157",12
"CALSOFT",55.67,55.53,55,58.24,53.75,NA,"20250812_1157",12
"CAMLINFINE",49.22,48.48,47,57.27,44.17,NA,"20250812_1158",12
"CAMPUS",74.2,73.7,94,58.86,63,NA,"20250812_1159",12
"CAMS",53.24,52.39,47,58.41,59,NA,"20250812_1200",12
"CANBK",54.62,54.05,47,56.76,66,NA,"20250812_1200",12
"CANFINHOME",55.87,57.38,53,56.32,56,NA,"20250812_1201",12
"CANTABIL",60.3,66.09,56,56.59,57,NA,"20250812_1202",12
"CAPACITE",68.95,73.26,76,60.45,57,NA,"20250812_1202",12
"CAPITALSFB",52.07,53.42,47,55,53,NA,"20250812_1203",12
"CAPLIPOINT",52.33,51.19,47,57.75,57,NA,"20250812_1204",12
"CAPTRUST",72.67,75.43,86,57.73,63,NA,"20250812_1205",12
"CARBORUNIV",53.07,51.96,51,57.05,54.17,NA,"20250812_1205",12
"CAREERP",10,10,10,10,10,NA,"20250812_1205",12
"CARERATING",52.76,51.19,47,56.75,61.25,NA,"20250812_1206",12
"CARRARO",61.57,57.17,71,57.5,63,NA,"20250812_1207",12
"CARTRADE",52.67,50.65,47,54.55,65,NA,"20250812_1208",12
"CARYSIL",52.42,50,55,56.45,49.17,NA,"20250812_1208",12
"CASHIETF",10,10,10,10,10,NA,"20250812_1209",12
"CASTROLIND",65.12,64.13,73,56.59,66,NA,"20250812_1210",12
"CCCL",52.58,49.78,53,54.32,57,NA,"20250812_1210",12
"CCHHL",70.4,72.83,86,55.71,57.5,NA,"20250812_1211",12
"CCL",55.23,51.9,55,56.36,63,NA,"20250812_1212",12
"CDSL",52.49,53.1,47,57.75,53,NA,"20250812_1213",13
"CEATLTD",58.73,59.57,56,55,66,NA,"20250812_1213",13
"CEIGALL",52.84,53.04,47,56.59,57,NA,"20250812_1214",13
"CELEBRITY",69.76,73.04,86,57.73,50,NA,"20250812_1215",13
"CELLO",54.29,55,47,55.45,63,NA,"20250812_1215",13
"CENTENKA",61.84,70.48,60,58,47,NA,"20250812_1216",13
"CENTEXT",62.09,68.7,60,57.73,53.75,NA,"20250812_1217",13
"CENTRALBK",51.15,49.76,47,54.71,57,NA,"20250812_1218",13
"CENTRUM",49.32,48.48,47,56.19,46.25,NA,"20250812_1218",13
"CENTUM",64.92,71.74,60,61.14,60,NA,"20250812_1219",13
"CENTURYPLY",53,51.09,47,56.82,63,NA,"20250812_1220",13
"CENTURYTEX",10,10,10,10,10,NA,"20250812_1220",13
"CERA",53.51,50.22,47,56.59,69,NA,"20250812_1220",13
"CEREBRAINT",67.04,71.74,86,55.45,38.33,NA,"20250812_1221",13
"CESC",54.43,55.22,51,55.45,56.67,NA,"20250812_1222",13
"CEWATER",53.68,53.7,47,57.27,60,NA,"20250812_1223",13
"CGCL",53.51,50.65,51,55.23,63,NA,"20250812_1223",13
"CGPOWER",55.37,53.04,51,57.5,66,NA,"20250812_1224",13
"CHALET",66.69,71.3,68,58.57,63,NA,"20250812_1225",13
"CHAMBLFERT",62.55,67.83,56,57.59,66,NA,"20250812_1225",13
"CHEMBOND",52.77,49.57,55,55.45,54,NA,"20250812_1226",13
"CHEMBONDCH",48.72,48.41,40.83,55.22,54,NA,"20250812_1227",13
"CHEMCON",71.15,74.35,86,56.82,57,NA,"20250812_1228",13
"CHEMFAB",71.93,76.96,86,61.36,49.17,NA,"20250812_1228",13
"CHEMPLASTS",66.26,64.13,77,57.27,66,NA,"20250812_1229",13
"CHENNPETRO",68.3,71.74,82,58.64,49.17,NA,"20250812_1230",14
"CHEVIOT",50.23,49.5,47,56.5,49.17,NA,"20250812_1231",14
"CHOICEIN",54.36,51.52,55,55,60,NA,"20250812_1232",14
"CHOLAFIN",54.41,50.65,51,57.47,66,NA,"20250812_1232",14
"CHOLAHLDNG",50.66,50.22,47,51.59,56.67,NA,"20250812_1233",14
"CIEINDIA",55.88,56.96,53,58.64,54.17,NA,"20250812_1234",14
"CIFL",60.25,65.65,56,56.82,57.5,NA,"20250812_1234",14
"CIGNITITEC",52.61,50.22,47,56.59,63,NA,"20250812_1235",14
"CINELINE",52.54,51.96,47,57.27,57,NA,"20250812_1236",14
"CINEVISTA",47.78,44.57,50,48.5,51.67,NA,"20250812_1237",14
"CIPLA",51.15,50.65,47,55.68,53.33,NA,"20250812_1237",14
"CLEAN",52.58,51.19,47,56.75,60,NA,"20250812_1238",14
"CLEDUCATE",59.78,62.61,64,53.18,54,NA,"20250812_1239",14
"CLSEL",67.84,67.83,83,57.05,57,NA,"20250812_1240",14
"CMSINFO",52,50.65,47,55.68,59,NA,"20250812_1240",14
"COALINDIA",71.16,75.65,82,61.36,54.17,NA,"20250812_1241",14
"COASTCORP",57.3,53.7,69,58.18,46.25,NA,"20250812_1242",14
"COCHINSHIP",74.88,76.52,94,58.86,60,NA,"20250812_1242",14
"COFFEEDAY",55.94,62.61,56,55.71,38.33,NA,"20250812_1243",14
"COFORGE",54.71,51.3,53,58.18,62,NA,"20250812_1244",14
"COHANCE",60.05,57.61,67,60.68,54.17,NA,"20250812_1245",14
"COLPAL",53.47,50.65,55,54.77,56.67,NA,"20250812_1245",14
"COMMOIETF",10,10,10,10,10,NA,"20250812_1246",14
"COMPUSOFT",53.05,53.7,47,56.36,57,NA,"20250812_1246",14
"COMSYN",71.65,75.43,86,59.55,53.75,NA,"20250812_1247",14
"CONCOR",54,53.7,51,56.36,56.67,NA,"20250812_1248",15
"CONCORDBIO",68.6,74.78,76,57.95,54,NA,"20250812_1249",15
"CONFIPET",60.54,55.48,73,60,54,NA,"20250812_1249",15
"CONS",10,10,10,10,10,NA,"20250812_1250",15
"CONSOFINVT",62.98,75.79,56,50.59,57,NA,"20250812_1251",15
"CONSUMBEES",10,10,10,10,10,NA,"20250812_1251",15
"CONSUMER",10,10,10,10,10,NA,"20250812_1252",15
"CONSUMIETF",10,10,10,10,10,NA,"20250812_1252",15
"CONTROLPR",53.05,51.52,51,57.95,54,NA,"20250812_1253",15
"CORALFINAC",73.23,79.52,86,56.84,57,NA,"20250812_1254",15
"CORDSCABLE",53.65,51.09,55,56.82,54,NA,"20250812_1255",15
"COROMANDEL",54.33,51.3,51,55.77,66,NA,"20250812_1255",15
"COSMOFIRST",57.41,59.7,60.6,55.91,48,NA,"20250812_1256",15
"COUNCODOS",72.44,79.05,86,56.32,53.75,NA,"20250812_1257",15
"CPCAP",54.49,57.61,47,58.18,53.75,NA,"20250812_1257",15
"CPPLUS",40.08,38.12,24,51.39,57,NA,"20250812_1258",15
"CPSEETF",10,10,10,10,10,NA,"20250812_1259",15
"CRAFTSMAN",54.65,50.22,53,57.05,66,NA,"20250812_1259",15
"CREATIVE",51.87,48.81,51,57.5,54,NA,"20250812_1300",15
"CREATIVEYE",57.11,61.74,56,53.33,51.67,NA,"20250812_1301",15
"CREDITACC",53.16,50.22,47,57.11,66,NA,"20250812_1301",15
"CREST",73.77,79.52,86,59.55,57,NA,"20250812_1302",15
"CRISIL",53.29,52.39,47,55.68,63,NA,"20250812_1303",15
"CRIZAC",51.35,49.35,47.5,55.95,57,NA,"20250812_1303",15
"CROMPTON",57.18,56.52,61,56.59,53.33,NA,"20250812_1304",15
"CROWN",61.74,67.83,60,59.32,51.67,NA,"20250812_1305",16
"CSBBANK",62.59,64.05,61,59.12,66,NA,"20250812_1306",16
"CSLFINANCE",55.15,52.89,59,57.94,51,NA,"20250812_1306",16
"CTE",49.77,47.61,47,54.55,53.75,NA,"20250812_1307",16
"CUB",54.17,55,47,56.18,61.25,NA,"20250812_1308",16
"CUBEXTUB",73.57,79.05,94,61,41.67,NA,"20250812_1308",16
"CUMMINSIND",53.02,50.65,51,55.68,59.17,NA,"20250812_1309",16
"CUPID",52.86,51.84,53,58.35,48,NA,"20250812_1310",16
"CURAA",55.26,62.38,48.33,51.76,52.5,NA,"20250812_1310",16
"CYBERMEDIA",62.62,59.35,77,57.86,53.75,NA,"20250812_1311",16
"CYBERTECH",52.68,53.26,51,57.14,48,NA,"20250812_1312",16
"CYIENT",61.16,65.43,56,58.41,62,NA,"20250812_1312",16
"CYIENTDLM",71.54,72.61,86,57.73,63,NA,"20250812_1313",16
"DABUR",51.29,50.22,47,54.77,56.67,NA,"20250812_1314",16
"DALBHARAT",68.15,73.7,76,57.73,54.17,NA,"20250812_1314",16
"DALMIASUG",69.58,73.7,84,58.64,49.17,NA,"20250812_1315",16
"DAMCAPITAL",54.19,51.19,55,57.05,57,NA,"20250812_1316",16
"DAMODARIND",71.59,74.35,86,59.55,56.25,NA,"20250812_1317",16
"DANGEE",62.98,69.57,60,60.45,53.75,NA,"20250812_1317",16
"DATAMATICS",55.34,56.74,53,56.45,54,NA,"20250812_1318",16
"DATAPATTNS",52.76,52.39,47,57.5,57,NA,"20250812_1319",16
"DAVANGERE",60.57,69.35,60,54.47,46.25,NA,"20250812_1319",16
"DBCORP",52.16,50.22,47,56.59,60,NA,"20250812_1320",16
"DBEIL",71.14,69.78,92,58.41,57,NA,"20250812_1321",16
"DBL",59.47,55.65,67,57.27,60,NA,"20250812_1321",16
"DBOL",54.44,55,51,57.95,54,NA,"20250812_1322",17
"DBREALTY",72.04,73.48,94,57.5,51,NA,"20250812_1323",17
"DBSTOCKBRO",59.25,67.83,56,55.91,46.25,NA,"20250812_1324",17
"DCAL",57.06,54.05,61,58.18,57,NA,"20250812_1324",17
"DCBBANK",51.91,50,51,53.82,56,NA,"20250812_1325",17
"DCI",53.58,50.22,55,58.41,53.75,NA,"20250812_1326",17
"DCM",67.84,72.61,76,60.71,51,NA,"20250812_1326",17
"DCMFINSERV",44.31,46.43,30,52.94,51,NA,"20250812_1327",17
"DCMNVL",52.09,51.96,47,57.27,54,NA,"20250812_1328",17
"DCMSHRIRAM",61.96,68.26,60,59.55,51.67,NA,"20250812_1328",17
"DCMSRIND",53.41,51.09,51,56.14,60,NA,"20250812_1329",17
"DCW",64.46,66.22,74.6,56.14,54,NA,"20250812_1330",17
"DCXINDIA",62.14,56.3,81,56.36,54,NA,"20250812_1330",17
"DDEVPLSTIK",52.26,49.57,51,55.68,57,NA,"20250812_1331",17
"DECCANCE",70.52,74.35,86,55.91,54,NA,"20250812_1332",17
"DEEDEV",67.63,72.83,70,57.73,63,NA,"20250812_1332",17
"DEEPAKFERT",70.76,75.43,76,62.95,60,NA,"20250812_1333",17
"DEEPAKNTR",59.32,61.3,57,57.73,60,NA,"20250812_1334",17
"DEEPENR",61.26,64.74,64,56.32,54,NA,"20250812_1334",17
"DEEPINDS",62.64,63.48,74.6,58,46.67,NA,"20250812_1335",17
"DELHIVERY",53.74,51.96,47,57.27,65,NA,"20250812_1336",17
"DELPHIFX",51.81,49.35,55,56.36,47,NA,"20250812_1336",17
"DELTACORP",50.21,50.65,47,52.73,51,NA,"20250812_1337",17
"DELTAMAGNT",68.14,68.7,82,58.64,56.25,NA,"20250812_1338",17
"DEN",52.64,53.1,47,55.5,57,NA,"20250812_1338",17
"DIVGIITTS",49.92,50.71,42.14,54.25,55,NA,"20260308_2023",1
"ENDURANCE",51.27,49.57,47.5,56.59,55,NA,"20260308_2023",1
"EXIDEIND",51.12,51.96,44.17,55.23,55,NA,"20260308_2023",1
"FIEMIND",49.06,51.3,36.11,56.3,55,NA,"20260308_2023",1
"GABRIEL",48.43,49.57,36.88,55.68,55,NA,"20260308_2023",1
"GNA",54.47,58.57,44.38,58.48,55,NA,"20260308_2023",1
"HARSHA",49.7,51.3,39.29,55.55,55,NA,"20260308_2023",1
"JAMNAAUTO",48.3,49.57,35.62,56.59,55,NA,"20260308_2023",1
"JBMA",56.91,66.09,45.71,53.96,55,NA,"20260308_2023",1
"JTEKTINDIA",51.54,50.22,47,57.27,55,NA,"20260308_2023",1
"LUMAXIND",57.69,63.91,53.33,52.7,55,NA,"20260308_2023",1
"LUMAXTECH",54.51,63.83,39.22,54.64,55,NA,"20260308_2023",1
"MENONBE",52.38,55.43,40.71,58.86,55,NA,"20260308_2023",1
"MINDACORP",49.42,50.22,40.71,54.55,55,NA,"20260308_2023",1
"MOTHERSON",51.57,50.22,51,52.39,55,NA,"20260308_2023",1
"MRF",49.41,46.67,44.17,57.27,55,NA,"20260308_2023",1
"MSUMI",48.99,49.57,40.71,53.7,55,NA,"20260308_2023",1
"NDRAUTO",47.86,49.57,36.88,52.83,55,NA,"20260308_2023",1
"PRICOLLTD",49.98,51.3,38.12,58.41,55,NA,"20260308_2023",1
"RANEENGINE",50.88,51.96,40.83,58.18,55,NA,"20260308_2023",1
"RICOAUTO",49.07,50.22,39.29,54.55,55,NA,"20260308_2023",1
"SANDHAR",47.8,48.48,35,57.05,55,NA,"20260308_2023",1
"SANSERA",48.59,49.57,39.29,53.48,55,NA,"20260308_2023",1
"SHARDAMOTR",49.87,52.62,36.88,56.75,55,NA,"20260308_2023",1
"SHRIPISTON",48.69,50.22,36.88,55.68,55,NA,"20260308_2023",1
"SONACOMS",49.66,51.96,36.88,57.05,55,NA,"20260308_2023",1
"SSWL",45.44,48.48,29.55,52.08,55,NA,"20260308_2023",1
"SUNDRMBRAK",47.66,50.22,33.12,55.22,55,NA,"20260308_2023",1
"SUNDRMFAST",48.05,51.3,33.12,55,55,NA,"20260308_2023",1
"SUPRAJIT",51.48,50.22,45.83,58.41,55,NA,"20260308_2023",1
"TALBROAUTO",47.2,50.22,30.56,56.14,55,NA,"20260308_2023",1
"TIINDIA",48.73,48.48,40.71,54.57,55,NA,"20260308_2023",1
"TMPV",47.98,52.39,30.56,55.68,55,NA,"20260308_2023",1
"UCAL",59.6,70,47.5,57.39,55,NA,"20260308_2023",1
"UNOMINDA",49.36,53.04,33.5,57.61,55,NA,"20260308_2023",1
"VARROC",49.61,50.22,42.14,53.7,55,NA,"20260308_2023",1
"WHEELS",46.83,50.22,30.5,54.32,55,NA,"20260308_2023",1
"ZFCVINDIA",50.29,54.52,33.12,59.75,55,NA,"20260308_2023",1
