"RANK","SYMBOL","COMPANY_NAME","MARKET_CAP_CATEGORY","CURRENT_PRICE","CHANGE_1D","CHANGE_1W","CHANGE_1M","TECHNICAL_SCORE","RSI","TREND_SIGNAL","RELATIVE_STRENGTH","CAN_SLIM_SCORE","MINERVINI_SCORE","FUNDAMENTAL_SCORE","ENHANCED_FUND_SCORE","EARNINGS_QUALITY","SALES_GROWTH","FINANCIAL_STRENGTH","INSTITUTIONAL_BACKING","TRADING_VALUE","TRADING_SIGNAL","ANALYSIS_DATE"
497,"DECCANCE","DECCAN CEMENTS LIMITED","MICRO_CAP",1139.8,3.87,2.48,5.78,85.3,61.7,"STRONG_BULLISH",33.58,16,18,25,70.52,74.35,86,55.91,54,189465637.4,"STRONG_BUY",2025-09-24
140,"ASKAUTOLTD","ASK AUTOMOTIVE LIMITED","MID_CAP",566.4,5.77,6,13.54,75.3,68.5,"STRONG_BULLISH",4.69,11,16,25,71.28,74.57,82,59.77,60,1446157717.4,"BUY",2025-09-24
264,"BHARATGEAR","BHARAT GEARS LTD.","SMALL_CAP",120.28,13.74,25.19,27.09,74,75.9,"STRONG_BULLISH",35.87,20,10,15,51.91,51.96,47,56.36,54,620855192.04,"BUY",2025-09-24
257,"BOROLTD","BOROSIL LIMITED","SMALL_CAP",371.45,-0.58,7.03,11.11,72.7,69.7,"BULLISH",10.47,16,8,20,64.73,68.33,68,57,60,655817268.3,"BUY",2025-09-24
3,"ANANTRAJ","ANANT RAJ LIMITED","LARGE_CAP",677.1,1.64,15.36,25.61,72,76.3,"STRONG_BULLISH",19.04,18,9,15,51.15,49,44.17,55.3,63,16805017689.4,"BUY",2025-09-24
863,"COMSYN","COMMERCIAL SYN BAGS LTD","MICRO_CAP",153.26,-0.89,-0.55,10.98,72,61.2,"STRONG_BULLISH",22.16,15,10,25,71.65,75.43,86,59.55,53.75,21711637.42,"BUY",2025-09-24
246,"ASTRAMICRO","ASTRA MICROWAVE LTD","SMALL_CAP",1125.1,1.63,1.36,8.34,71.3,61.5,"BULLISH",13.72,14,13,25,71.97,73.91,94,57.05,50,726322952,"BUY",2025-09-24
25,"CANBK","CANARA BANK","LARGE_CAP",122.91,0.83,5.73,12.95,70,75.8,"STRONG_BULLISH",8.69,14,13,15,54.62,54.05,47,56.76,66,6805034253.05,"BUY",2025-09-24
64,"SYRMA","SYRMA SGS TECHNOLOGY LTD","MID_CAP",858.4,4.95,7.51,14.54,70,65.9,"STRONG_BULLISH",26.53,20,16,0,NA,NA,NA,NA,NA,2991681106.1,"BUY",2025-09-24
355,"DATAMATICS","DATAMATICS GLOBAL SER LTD","MICRO_CAP",900.4,4.83,-1.02,-10.3,70,46.2,"BULLISH",22.91,11,18,15,55.34,56.74,53,56.45,54,367936612.8,"BUY",2025-09-24
372,"CHOICEIN","CHOICE INTERNATIONAL LTD","MICRO_CAP",826.3,1.28,0.32,2.73,70,64.6,"STRONG_BULLISH",20.18,9,17,15,54.36,51.52,55,55,60,347065281.45,"BUY",2025-09-24
288,"AADHARHFC","AADHAR HOUSING FINANCE L","SMALL_CAP",539.85,0.84,0.29,4.37,69.3,63.1,"STRONG_BULLISH",17.93,14,11,15,52.3,51.19,47,57.63,57,522761636.2,"BUY",2025-09-24
796,"CHEMCON","CHEMCON SPECIAL CHEM LTD","MICRO_CAP",246.05,-2.98,4.2,10.52,69.3,58.4,"STRONG_BULLISH",27.84,15,10,25,71.15,74.35,86,56.82,57,47967527.81,"BUY",2025-09-24
