"symbol","current_price","relative_strength","rs_category","rs_strength","technical_score","rsi","change_1d","change_1w","market_cap_category"
"CHOICEIN",780.75,13.19,"Strong","Medium",67.3,51.6,-0.36,-2.01,"MICRO_CAP"
"SHOPERSTOP",542.3,12.93,"Strong","Medium",68,56.6,0.51,1.71,"MICRO_CAP"
"ESCORTS",3633.3,12.91,"Strong","Medium",71.3,60.8,-1.2,4.55,"LARGE_CAP"
"BALMLAWRIE",228.93,12.88,"Strong","Medium",69.3,62.6,-1.28,5.33,"MICRO_CAP"
"BECTORFOOD",1472,11.6,"Strong","Medium",72.7,59.3,7.27,8.06,"SMALL_CAP"
"APOLLOTYRE",485.5,11.54,"Strong","Medium",74,66.6,-0.03,6.11,"SMALL_CAP"
"ASKAUTOLTD",520,10.97,"Strong","Medium",86,59.9,1.01,8.1,"MICRO_CAP"
"DOMS",2692.2,10.54,"Strong","Medium",68.7,69.8,7.55,10.14,"LARGE_CAP"
"CENTURYPLY",788.2,10.35,"Strong","Medium",75.3,69,1.06,7.83,"MICRO_CAP"
"METROBRAND",1226.7,10.29,"Strong","Medium",66.7,64.6,4.77,7.17,"MICRO_CAP"
"KEI",4125.8,10.25,"Strong","Medium",71.3,68,2.6,6.79,"MID_CAP"
"CONSUMIETF",127.82,9.86,"Moderate","Weak",65.3,72.4,0.8,2.51,"MICRO_CAP"
"BHAGERIA",200.85,9.85,"Moderate","Weak",73.3,64.8,1.07,7.56,"MICRO_CAP"
"CONSUMBEES",137.34,9.71,"Moderate","Weak",68.7,69.8,0.4,2.39,"MICRO_CAP"
"AXISCETF",127.14,9.61,"Moderate","Weak",67.3,69.2,0.54,2.51,"MICRO_CAP"
"CEIGALL",264.27,9.57,"Moderate","Weak",72.7,59.3,4.59,7.14,"MICRO_CAP"
"DEVYANI",179.3,8.89,"Moderate","Weak",65.3,65.8,2.33,2.36,"MID_CAP"
"SUNDRMFAST",1016.7,7.8,"Moderate","Weak",66.7,56.7,0.24,-0.35,"MICRO_CAP"
"HDFCGROWTH",123.46,7.42,"Moderate","Weak",68,64.7,1.01,1.46,"MICRO_CAP"
"BATAINDIA",1245.5,6.44,"Moderate","Weak",68.7,65.9,7.15,15.39,"MID_CAP"
"BSHSL",141.68,6.29,"Moderate","Weak",70,58.1,0.19,-2.67,"MICRO_CAP"
"CAPITALSFB",296.95,4.65,"Weak","Weak",66,51,4.86,1.71,"MICRO_CAP"
"COLPAL",2464.6,4.44,"Weak","Weak",70,66.8,3.47,8.92,"LARGE_CAP"
"CARYSIL",894.4,3.6,"Weak","Weak",65.3,57.1,-0.4,6.5,"MICRO_CAP"
"CONTROLPR",783.45,3.41,"Weak","Weak",67.3,55.1,0.73,1.51,"MICRO_CAP"
"BOROLTD",344.45,2.09,"Weak","Weak",66.7,57.8,-0.23,3.88,"MICRO_CAP"
