"SYMBOL","CURRENT_PRICE","SMA_20","SMA_50","SMA_100","SMA_200","ABOVE_20DMA","ABOVE_50DMA","ABOVE_100DMA","ABOVE_200DMA"
"20MICRONS",193.63,208.2405,216.7046,226.7343,216.5493,FALSE,FALSE,FALSE,FALSE
"21STCENMGM",43.27,46.5375,49.5016,54.2746,51.20725,FALSE,FALSE,FALSE,FALSE
"3IINFOLTD",18.2,18.3015,20.8736,22.3708000000001,23.51575,FALSE,FALSE,FALSE,FALSE
"3MINDIA",35910,32232.5,30880.7,30498.3,29633.903,TRUE,TRUE,TRUE,TRUE
"3PLAND",40.65,41.792,43.4174,45.9272,46.5436,FALSE,FALSE,FALSE,FALSE
"5PAISA",289.15,307.0325,335.652,362.4135,370.4865,FALSE,FALSE,FALSE,FALSE
"63MOONS",742.85,778.4975,847.775,920.976,838.8245,FALSE,FALSE,FALSE,FALSE
"A2ZINFRA",17.4,17.1795,15.2626,16.847,12.55415,TRUE,TRUE,TRUE,TRUE
"AAATECH",101.6,86.3810000000001,84.5046,85.4098,86.6467000000001,TRUE,TRUE,TRUE,TRUE
"AAKASH",8.97,9.0375,9.23360000000001,8.7568,9.44605,FALSE,FALSE,TRUE,FALSE
"AAREYDRUGS",54.48,53.8255,48.5768,49.5479,43.7878,TRUE,TRUE,TRUE,TRUE
"AARON",193.23,198.1045,196.09,294.0075,326.07725,FALSE,FALSE,FALSE,FALSE
"AARTIDRUGS",463.45,496.2325,498.778,494.0305,445.56,FALSE,FALSE,FALSE,TRUE
"AARTIIND",393,384.285000000001,383.500999999999,404.928999999999,418.128249999999,TRUE,TRUE,FALSE,FALSE
"AARTISURF",455.65,469.22,485.589,470.320000000001,553.19125,FALSE,FALSE,FALSE,FALSE
"AARVEEDEN",38.05,33.6735,29.065,27.756,28.2495,TRUE,TRUE,TRUE,TRUE
"AARVI",137.68,120.732,122.5154,116.1113,113.4347,TRUE,TRUE,TRUE,TRUE
"AAVAS",1712.2,1650.905,1635.958,1724.811,1781.45375,TRUE,TRUE,FALSE,FALSE
"ABAN",44.96,45.034,48.7762,49.0404999999999,59.4667,FALSE,FALSE,FALSE,FALSE
"ABB",4952.5,5147.7,5190.498,5357.529,5472.51374999999,FALSE,FALSE,FALSE,FALSE
"ABBOTINDIA",29340,29594,30204.2,31826.15,30858.852,FALSE,FALSE,FALSE,FALSE
"ABCAPITAL",331.4,319.7675,302.655,287.2103,238.79615,TRUE,TRUE,TRUE,TRUE
"ABFRL",78.44,81.9005000000001,84.7590000000004,80.4054000000001,152.4704,FALSE,FALSE,FALSE,FALSE
"ABSLAMC",733.95,794.0825,814.462,827.1355,749.484,FALSE,FALSE,FALSE,FALSE
"ABSLBANETF",59.7,59.244,57.5438,57.3821,55.1297,TRUE,TRUE,TRUE,TRUE
"ABSLNN50ET",72.99,72.854,71.9416,71.1798,68.5803000000001,TRUE,TRUE,TRUE,TRUE
"ACC",1840.3,1851.315,1851.386,1863.456,1894.2425,FALSE,FALSE,FALSE,FALSE
"ACCELYA",1344,1401.11,1435.08,1419.498,1388.7655,FALSE,FALSE,FALSE,FALSE
"ACCURACY",6.41,6.55550000000002,6.82799999999995,7.26339999999999,7.86904999999999,FALSE,FALSE,FALSE,FALSE
"ACE",983.5,1068.805,1087.036,1102.269,1160.303,FALSE,FALSE,FALSE,FALSE
"ACEINTEG",24.16,24.02,24.389,24.8069,24.82925,TRUE,FALSE,FALSE,FALSE
"ACI",627.55,642.895,666.534000000001,662.017500000001,617.0805,FALSE,FALSE,FALSE,TRUE
"ADANIENT",2516.8,2479.25,2465.812,2466.937,2411.57925,TRUE,TRUE,TRUE,TRUE
"ADANIGREEN",1068.8,1063.735,1033.771,1008.0315,974.119250000001,TRUE,TRUE,TRUE,TRUE
"ADANIPORTS",1512.7,1459.815,1421.35,1405.051,1317.045,TRUE,TRUE,TRUE,TRUE
"ADANIPOWER",153.91,159.198,299.015,442.582,484.49375,FALSE,FALSE,FALSE,FALSE
"ADFFOODS",213.8,216.9485,219.8224,236.6987,240.3105,FALSE,FALSE,FALSE,FALSE
