"SYMBOL","CURRENT_PRICE","MONTHLY_RS","CONSOLIDATION_BREAKOUT","CUP_HANDLE","LONG_TERM_UPTREND","MOMENTUM_BREAKOUT","SUPPORT_BOUNCE","VOLUME_ACCUMULATION","EARNINGS_MOMENTUM","WEEK52_HIGH_BREAKOUT","TECHNICAL_SCORE","MARKET_CAP_CATEGORY"
"BANCOINDIA",806.05,9.83,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,78.7,"LARGE_CAP"
"ASHAPURMIN",689.9,7.61,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,77.3,"LARGE_CAP"
"CARRARO",540.85,6.52,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,74,"MICRO_CAP"
"ARMANFIN",1729.5,5.11,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,72.7,"MICRO_CAP"
"BHAGYANGR",153.67,17.49,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,72.7,"MICRO_CAP"
"CANFINHOME",884.65,3.25,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,70.7,"MICRO_CAP"
"GPIL",276.7,7.15,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,70,"MID_CAP"
"SRM",634.1,6.97,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,70,"SMALL_CAP"
"BDL",1613.8,0.45,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,69.3,"LARGE_CAP"
"AXISBANK",1241.6,3.18,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,69.3,"LARGE_CAP"
"ASHOKLEY",148.26,4.23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,69.3,"MID_CAP"
"CUPID",312.84,16.93,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,68,"MID_CAP"
"KAPSTON",322.65,6.23,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,68,"MICRO_CAP"
"HBLENGINE",1041.3,7.06,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,67.3,"LARGE_CAP"
"AUROPHARMA",1222.5,2.51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,67.3,"MID_CAP"
"CUB",270.59,5.5,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,67.3,"MID_CAP"
"IIFL",547.3,4.69,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,66.7,"MID_CAP"
"AUBANK",890.6,3.66,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,66.7,"MID_CAP"
"GRMOVER",480.75,5.91,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,66.7,"MID_CAP"
"DCBBANK",175.5,8.82,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,66.7,"SMALL_CAP"
"VARROC",652.8,5.02,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,66.7,"SMALL_CAP"
"GRSE",2897.1,2.34,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,66,"LARGE_CAP"
"BPCL",371.15,3.28,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,66,"MID_CAP"
"DATAPATTNS",3100.7,4.54,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,65.3,"LARGE_CAP"
"BHARATFORG",1396.7,3.59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,65.3,"MID_CAP"
"WEL",162.4,0.15,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,64.7,"MICRO_CAP"
"STARHEALTH",522.45,3.75,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,64,"MID_CAP"
"RPTECH",337.5,3.75,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,64,"MICRO_CAP"
"NBCC",114.14,2.03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,63.3,"LARGE_CAP"
"MUTHOOTFIN",3725.6,6.89,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,62.7,"LARGE_CAP"
"BANKBARODA",286.75,3.55,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,62.7,"MID_CAP"
"APOLLOTYRE",518.7,3.92,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,62.7,"SMALL_CAP"
"CSBBANK",427.45,2.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,62.7,"MICRO_CAP"
"KITEX",210.99,4.55,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,62,"SMALL_CAP"
"SANDHAR",548.25,6.71,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,62,"SMALL_CAP"
"SEQUENT",229.08,5.95,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,62,"SMALL_CAP"
"UNIONGOLD",122.75,4.84,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,62,"MICRO_CAP"
"ASIANPAINT",2906.4,2.93,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,61.3,"LARGE_CAP"
"ATHERENERG",649.6,10.98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,61.3,"MID_CAP"
"ALKEM",5722.5,1.38,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,61.3,"MID_CAP"
"CHOLAFIN",1714.6,3.4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,61.3,"MID_CAP"
