INDEX_NAME,INDEX_STRENGTH,RANK,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,TREND_SIGNAL,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,TRADING_SIGNAL,ANALYSIS_DATE
Nifty Bank,58.239999999999995,75,CANBK,CANARA BANK,MID_CAP,139.24,-0.26,4.78,8.73,55.3,75.2,STRONG_BULLISH,22.41,13,4,15,54.62,54.05,47,56.76,66,3114696538,HOLD,2025-11-06
Nifty Bank,58.239999999999995,114,PNB,PUNJAB NATIONAL BANK,MID_CAP,120.46,-2.26,0.31,5.51,54,58.8,STRONG_BULLISH,10.87,11,12,0,NA,NA,NA,NA,NA,2297655998.17,HOLD,2025-11-06
Nifty Auto,58,165,BHARATFORG,BHARAT FORGE LTD,SMALL_CAP,1319.7,-0.39,0.19,8.46,66,63.1,BULLISH,12.28,12,12,15,54.83,55.22,53,56.82,54.17,1460802435.8,BUY,2025-11-06
Nifty Auto,58,104,ASHOKLEY,ASHOK LEYLAND LTD,MID_CAP,141.23,0.56,0.33,1,62,56.8,BULLISH,4.51,6,13,25,71.08,74.57,82,59.41,59.17,2478878823.03,HOLD,2025-11-06
Nifty Auto,58,9,M&M,MAHINDRA & MAHINDRA LTD,LARGE_CAP,3618.5,1.04,3.32,3.6,57.3,58.8,STRONG_BULLISH,4.97,8,17,0,NA,NA,NA,NA,NA,16478792759.1,HOLD,2025-11-06
Nifty Auto,58,467,APOLLOTYRE,APOLLO TYRES LTD,MICRO_CAP,505.8,-3.17,0.56,5.71,54.7,55.5,STRONG_BULLISH,6.64,7,12,15,53.44,54.57,51,53.68,54.17,287789276.9,HOLD,2025-11-06
Nifty Auto,58,79,EICHERMOT,EICHER MOTORS LTD,MID_CAP,6806.5,-1.78,-1.2,-2.16,50,45.4,BULLISH,13.04,9,8,0,NA,NA,NA,NA,NA,2989573866.5,HOLD,2025-11-06
Nifty Midcap 50,57.98,156,BIOCON,BIOCON LIMITED.,SMALL_CAP,385.2,1.24,2.28,10.75,61.3,69.1,BULLISH,5.56,12,10,15,58.99,60.43,56,56.82,63,1551399168.65,HOLD,2025-11-06
Nifty Midcap 50,57.98,106,BAJAJFINSV,BAJAJ FINSERV LTD.,MID_CAP,2063.2,-0.48,-2.43,1.51,58,45.4,STRONG_BULLISH,3.75,4,10,15,52.46,50.71,47,54.86,63,2426916625.1,HOLD,2025-11-06
Nifty Midcap 50,57.98,9,M&M,MAHINDRA & MAHINDRA LTD,LARGE_CAP,3618.5,1.04,3.32,3.6,57.3,58.8,STRONG_BULLISH,4.97,8,17,0,NA,NA,NA,NA,NA,16478792759.1,HOLD,2025-11-06
Nifty Midcap 50,57.98,84,TATACONSUM,TATA CONSUMER PRODUCT LTD,MID_CAP,1190.4,0.94,1.17,6.29,57.3,62.6,STRONG_BULLISH,6.1,10,12,0,NA,NA,NA,NA,NA,2844617394.9,HOLD,2025-11-06
Nifty Midcap 50,57.98,41,DIVISLAB,DIVI S LABORATORIES LTD,LARGE_CAP,6883.5,1.16,3.43,12.76,56,73.4,BULLISH,13.03,14,8,0,NA,NA,NA,NA,NA,4939160684.5,HOLD,2025-11-06
Nifty PSU Bank,55.839999999999996,5,SBIN,STATE BANK OF INDIA,LARGE_CAP,960.75,0.33,2.83,11.11,63.3,80.9,STRONG_BULLISH,14.3,18,15,0,NA,NA,NA,NA,NA,22216670805.6,HOLD,2025-11-06
Nifty PSU Bank,55.839999999999996,122,BANKBARODA,BANK OF BARODA,MID_CAP,286.35,-0.61,4.99,9.36,57.3,68.5,STRONG_BULLISH,15.34,11,6,15,53.65,55.48,47,57.94,54.17,2208473659.35,HOLD,2025-11-06
Nifty PSU Bank,55.839999999999996,75,CANBK,CANARA BANK,MID_CAP,139.24,-0.26,4.78,8.73,55.3,75.2,STRONG_BULLISH,22.41,13,4,15,54.62,54.05,47,56.76,66,3114696538,HOLD,2025-11-06
Nifty PSU Bank,55.839999999999996,114,PNB,PUNJAB NATIONAL BANK,MID_CAP,120.46,-2.26,0.31,5.51,54,58.8,STRONG_BULLISH,10.87,11,12,0,NA,NA,NA,NA,NA,2297655998.17,HOLD,2025-11-06
Nifty PSU Bank,55.839999999999996,154,INDIANB,INDIAN BANK,SMALL_CAP,865.8,-0.76,1.28,14.27,49.3,75.4,STRONG_BULLISH,27.62,15,8,0,NA,NA,NA,NA,NA,1562048612.25,WEAK_HOLD,2025-11-06
Nifty Next 50,55.72,106,BAJAJFINSV,BAJAJ FINSERV LTD.,MID_CAP,2063.2,-0.48,-2.43,1.51,58,45.4,STRONG_BULLISH,3.75,4,10,15,52.46,50.71,47,54.86,63,2426916625.1,HOLD,2025-11-06
Nifty Next 50,55.72,9,M&M,MAHINDRA & MAHINDRA LTD,LARGE_CAP,3618.5,1.04,3.32,3.6,57.3,58.8,STRONG_BULLISH,4.97,8,17,0,NA,NA,NA,NA,NA,16478792759.1,HOLD,2025-11-06
Nifty Next 50,55.72,84,TATACONSUM,TATA CONSUMER PRODUCT LTD,MID_CAP,1190.4,0.94,1.17,6.29,57.3,62.6,STRONG_BULLISH,6.1,10,12,0,NA,NA,NA,NA,NA,2844617394.9,HOLD,2025-11-06
Nifty Next 50,55.72,41,DIVISLAB,DIVI S LABORATORIES LTD,LARGE_CAP,6883.5,1.16,3.43,12.76,56,73.4,BULLISH,13.03,14,8,0,NA,NA,NA,NA,NA,4939160684.5,HOLD,2025-11-06
Nifty Next 50,55.72,58,VEDL,VEDANTA LIMITED,MID_CAP,504.95,-0.63,-0.39,7.01,50,60.7,STRONG_BULLISH,11.75,11,10,0,NA,NA,NA,NA,NA,3669936285.05,HOLD,2025-11-06
Nifty Pharma,54.78,156,BIOCON,BIOCON LIMITED.,SMALL_CAP,385.2,1.24,2.28,10.75,61.3,69.1,BULLISH,5.56,12,10,15,58.99,60.43,56,56.82,63,1551399168.65,HOLD,2025-11-06
Nifty Pharma,54.78,41,DIVISLAB,DIVI S LABORATORIES LTD,LARGE_CAP,6883.5,1.16,3.43,12.76,56,73.4,BULLISH,13.03,14,8,0,NA,NA,NA,NA,NA,4939160684.5,HOLD,2025-11-06
Nifty Pharma,54.78,148,AUROPHARMA,AUROBINDO PHARMA LTD,MID_CAP,1140.6,-0.74,3.46,4.63,55.3,59.7,BULLISH,7.4,5,6,20,67.41,70.43,70,59.18,66,1646782040.6,HOLD,2025-11-06
Nifty Pharma,54.78,227,ALKEM,ALKEM LABORATORIES LTD.,SMALL_CAP,5643.5,-0.36,2.14,2.76,53.3,62,STRONG_BULLISH,3.05,3,6,15,56.97,60.22,47,58.41,63,861846122,HOLD,2025-11-06
Nifty Pharma,54.78,70,APOLLOHOSP,APOLLO HOSPITALS ENTER. L,MID_CAP,7782,-0.36,-0.1,1.06,48,49.7,STRONG_BULLISH,-2.88,2,12,15,51.11,51.2,45.83,55.87,53.33,3313543763,WEAK_HOLD,2025-11-06
NIFTY SMLCAP 250,54.26,156,BIOCON,BIOCON LIMITED.,SMALL_CAP,385.2,1.24,2.28,10.75,61.3,69.1,BULLISH,5.56,12,10,15,58.99,60.43,56,56.82,63,1551399168.65,HOLD,2025-11-06
