INDEX_NAME,INDEX_STRENGTH,RANK,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,TREND_SIGNAL,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,TRADING_SIGNAL,ANALYSIS_DATE
Nifty Bank,61.6,12,CANBK,CANARA BANK,LARGE_CAP,132.89,3.2,5.27,7.42,76,68.9,STRONG_BULLISH,16.89,18,12,15,54.62,54.05,47,56.76,66,12325784175.58,BUY,2025-10-30
Nifty Bank,61.6,49,BANKBARODA,BANK OF BARODA,LARGE_CAP,272.75,-0.67,2.19,5.5,66,62.6,STRONG_BULLISH,7.76,12,6,15,53.65,55.48,47,57.94,54.17,3808390742.45,BUY,2025-10-30
Nifty Bank,61.6,38,AXISBANK,AXIS BANK LIMITED,LARGE_CAP,1238.6,-0.82,-1.6,9.46,58.7,63.4,BULLISH,11.15,11,12,15,52.47,51.19,47,54.71,62,4987207869.4,HOLD,2025-10-30
Nifty Bank,61.6,75,PNB,PUNJAB NATIONAL BANK,MID_CAP,120.09,-0.83,1.58,6.43,54,63.6,STRONG_BULLISH,7.58,10,10,0,NA,NA,NA,NA,NA,2791984584.03,HOLD,2025-10-30
Nifty Bank,61.6,13,SBIN,STATE BANK OF INDIA,LARGE_CAP,934.35,-0.57,2.5,7.09,53.3,74.9,STRONG_BULLISH,8.65,10,12,0,NA,NA,NA,NA,NA,12247265996.75,HOLD,2025-10-30
Nifty 50,60.54,35,BPCL,BHARAT PETROLEUM CORP  LT,LARGE_CAP,357.6,2.73,7.94,5.28,68.7,69.4,BEARISH,5.85,12,14,20,62.6,70,56,58.64,59.17,5263753111.5,BUY,2025-10-30
Nifty 50,60.54,17,BHARTIARTL,BHARTI AIRTEL LIMITED,LARGE_CAP,2066.3,-1.63,2.91,10,61.3,64.5,STRONG_BULLISH,5.61,11,12,15,52.75,50.65,51,54.32,59.17,8726723356.2,HOLD,2025-10-30
Nifty 50,60.54,38,AXISBANK,AXIS BANK LIMITED,LARGE_CAP,1238.6,-0.82,-1.6,9.46,58.7,63.4,BULLISH,11.15,11,12,15,52.47,51.19,47,54.71,62,4987207869.4,HOLD,2025-10-30
Nifty 50,60.54,44,BAJFINANCE,BAJAJ FINANCE LIMITED,LARGE_CAP,1052.3,-1,-3.82,5.35,57.3,52.4,BULLISH,17.32,13,12,15,51.99,50.65,47,55.53,59.17,4501479931.2,HOLD,2025-10-30
Nifty 50,60.54,26,COALINDIA,COAL INDIA LTD,LARGE_CAP,387.7,1.49,-1.26,-0.58,56.7,49.3,BULLISH,-4.62,5,10,25,71.16,75.65,82,61.36,54.17,5837125826.85,HOLD,2025-10-30
Nifty PSU Bank,59.2,12,CANBK,CANARA BANK,LARGE_CAP,132.89,3.2,5.27,7.42,76,68.9,STRONG_BULLISH,16.89,18,12,15,54.62,54.05,47,56.76,66,12325784175.58,BUY,2025-10-30
