REBAL_DATE,N_STOCKS,PORTFOLIO_RET_1Y,BENCH_RET_1Y,EXCESS_RET
2023-01-02,0,,,
2023-02-01,0,,,
2023-03-02,0,,,
2023-04-05,0,,,
2023-05-09,0,,,
2023-06-07,0,,,
2023-07-07,5,0.7203328276231418,0.3951793400286945,0.3251534875944473
2023-08-07,6,0.6496324890096777,0.3396344971016416,0.3099979919080361
2023-09-06,10,0.34982393618438024,0.3751315751632107,-0.025307638978830482
2023-10-09,10,0.4022370695378359,0.37124025116523685,0.030996818372599044
2023-11-08,8,0.44177896350454215,0.29689178751255874,0.14488717599198342
2023-12-08,8,0.5938504970006516,0.24446995769890578,0.34938053930174584
2024-01-09,8,0.1882957821270536,0.10058484925337585,0.08771093287367776
2024-02-08,9,0.01703558661995936,0.049542870024797736,-0.032507283404838376
2024-03-07,8,-0.2074673143315761,-0.00555480253835261,-0.2019125117932235
2024-04-10,9,-0.1367760695435557,0.04512062857005139,-0.1818966981136071
2024-05-14,9,-0.07031071088736772,0.08889033524010626,-0.159201046127474
2024-06-12,8,-0.21740771470397352,0.038547088695904286,-0.2559548033998778
2024-07-12,9,-0.09368794548959082,0.009041419914389781,-0.1027293654039806
2024-08-13,9,-0.22637471622722735,0.011416839231408682,-0.23779155545863603
2024-09-12,10,-0.22867235368105882,-0.020185387952290634,-0.20848696572876818
2024-10-14,9,-0.20556076800298292,0.0009900698104543526,-0.20655083781343728
2024-11-12,8,-0.07223926706750528,0.08557172158731818,-0.15781098865482346
2024-12-13,9,-0.16260760619886672,0.028440270721059147,-0.19104787691992586
2025-01-14,6,0.14962744776680556,0.09893648613534278,0.05069096163146278
