DATE,SYMBOL,Security Name,ENTITY,SIDE,QTY,PRICE,SOURCE
07-MAY-2026,SOFTTECH,Softtech Engineers Ltd,FEDEX FINANCE PRIVATE LIMITED,BUY,2246998,408.0,BLOCK_DEAL
07-MAY-2026,SOFTTECH,Softtech Engineers Ltd,ELIMATH ADVISORS PRIVATE LIMITED,SELL,2246998,408.0,BLOCK_DEAL
