DATE,SYMBOL,ALERT_TYPE,ENTITY,QTY,VALUE_CR,CATEGORY,DETAIL,SOURCE
2026-05-05,STANLEY,BULK_DEAL_BUY,VISION AHEAD SERVICES PRIVATE LIMITED,300000,5.32,Bulk Deal,@ ₹177.36,BULK_DEAL
2026-05-05,STANLEY,BULK_DEAL_BUY,NK SECURITIES RESEARCH PRIVATE LIMITED,335423,6.0,Bulk Deal,@ ₹178.79,BULK_DEAL
2026-05-05,TITAGARH,BULK_DEAL_BUY,JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED,824311,69.07,Bulk Deal,@ ₹837.87,BULK_DEAL
2026-05-05,TITAGARH,BULK_DEAL_BUY,NK SECURITIES RESEARCH PRIVATE LIMITED,679396,57.11,Bulk Deal,@ ₹840.61,BULK_DEAL
2026-05-05,ADSL,BULK_DEAL_SELL,NK SECURITIES RESEARCH PRIVATE LIMITED,342319,4.52,Bulk Deal,@ ₹131.98,BULK_DEAL
2026-05-05,ADSL,BULK_DEAL_SELL,SAURABH NAYYAR,297500,3.77,Bulk Deal,@ ₹126.59,BULK_DEAL
2026-05-05,AGIIL,BULK_DEAL_SELL,ARIHANT CAPITAL MARKETS LIMITED,1306818,50.27,Bulk Deal,@ ₹384.65,BULK_DEAL
2026-05-05,CALSOFT,BULK_DEAL_SELL,NEO APEX SHARE BROKING SERVICES LLP,495000,0.94,Bulk Deal,@ ₹18.94,BULK_DEAL
2026-05-05,CAMS,BULK_DEAL_SELL,GRAVITON RESEARCH CAPITAL LLP,1582409,123.68,Bulk Deal,@ ₹781.62,BULK_DEAL
2026-05-05,DSSL,BULK_DEAL_SELL,NK SECURITIES RESEARCH PRIVATE LIMITED,75280,9.68,Bulk Deal,@ ₹1285.85,BULK_DEAL
2026-05-05,DWARKESH,BULK_DEAL_SELL,NK SECURITIES RESEARCH PRIVATE LIMITED,1051402,5.4,Bulk Deal,@ ₹51.40,BULK_DEAL
2026-05-05,DWARKESH,BULK_DEAL_SELL,JUNOMONETA FINSOL PRIVATE LIMITED,1753598,8.99,Bulk Deal,@ ₹51.25,BULK_DEAL
2026-05-05,DWARKESH,BULK_DEAL_SELL,QE SECURITIES LLP,1213186,6.17,Bulk Deal,@ ₹50.86,BULK_DEAL
2026-05-05,GARUDA,BULK_DEAL_SELL,NK SECURITIES RESEARCH PRIVATE LIMITED,576934,11.14,Bulk Deal,@ ₹193.02,BULK_DEAL
2026-05-05,GCSL,BULK_DEAL_SELL,MANSUKH SECURITIES & FINANCE LIMITED,115704,4.31,Bulk Deal,@ ₹372.14,BULK_DEAL
2026-05-05,IDEAFORGE,BULK_DEAL_SELL,HRTI PRIVATE LIMITED,449370,35.13,Bulk Deal,@ ₹781.69,BULK_DEAL
2026-05-05,IDEAFORGE,BULK_DEAL_SELL,NK SECURITIES RESEARCH PRIVATE LIMITED,340952,26.54,Bulk Deal,@ ₹778.41,BULK_DEAL
2026-05-05,IDEAFORGE,BULK_DEAL_SELL,QE SECURITIES LLP,341571,26.68,Bulk Deal,@ ₹781.24,BULK_DEAL
2026-05-05,IDEAFORGE,BULK_DEAL_SELL,JUNOMONETA FINSOL PRIVATE LIMITED,351775,27.48,Bulk Deal,@ ₹781.24,BULK_DEAL
2026-05-05,INVICTA,BULK_DEAL_SELL,PINE OAK GLOBAL FUND,70400,0.68,Bulk Deal,@ ₹95.95,BULK_DEAL
2026-05-05,IRMENERGY,BULK_DEAL_SELL,JUNOMONETA FINSOL PRIVATE LIMITED,366450,12.39,Bulk Deal,@ ₹337.98,BULK_DEAL
2026-05-05,IRMENERGY,BULK_DEAL_SELL,NK SECURITIES RESEARCH PRIVATE LIMITED,261101,8.82,Bulk Deal,@ ₹337.80,BULK_DEAL
