SYMBOL,FNO_PCR,FNO_OI_CHANGE_5D,FNO_PRICE_CHANGE,FNO_BUILDUP,FNO_MAX_PAIN,FNO_SIGNAL
GODREJPROP,0.815,210.18,3.92,LONG_BUILDUP,1820.0,MILD_BULL
GRASIM,0.813,231.51,2.01,LONG_BUILDUP,2800.0,MILD_BULL
HAL,0.875,86.42,2.34,LONG_BUILDUP,4400.0,MILD_BULL
HAVELLS,0.492,253.08,-0.14,SHORT_BUILDUP,1280.0,BEAR
HCLTECH,0.539,227.82,-0.22,SHORT_BUILDUP,1220.0,BEAR
HDFCAMC,0.736,187.05,-0.19,SHORT_BUILDUP,2740.0,MILD_BEAR
HDFCBANK,0.553,159.51,-1.06,SHORT_BUILDUP,795.0,BEAR
HDFCLIFE,0.626,120.83,0.17,LONG_BUILDUP,600.0,NEUTRAL
HEROMOTOCO,0.645,133.63,3.03,LONG_BUILDUP,5100.0,NEUTRAL
HINDALCO,0.756,145.73,-0.33,SHORT_BUILDUP,1040.0,MILD_BEAR
HINDPETRO,1.049,111.57,0.71,LONG_BUILDUP,380.0,BULL
HINDUNILVR,0.538,131.13,-2.83,SHORT_BUILDUP,2300.0,BEAR
HINDZINC,0.629,137.97,1.35,LONG_BUILDUP,600.0,NEUTRAL
HYUNDAI,0.989,322.68,1.4,LONG_BUILDUP,1800.0,MILD_BULL
ICICIBANK,0.646,209.56,-4.34,SHORT_BUILDUP,1300.0,BEAR
ICICIGI,0.617,114.89,-0.36,SHORT_BUILDUP,1800.0,BEAR
ICICIPRULI,0.68,137.55,0.5,LONG_BUILDUP,530.0,NEUTRAL
IDEA,0.509,132.01,7.66,LONG_BUILDUP,10.0,NEUTRAL
IDFCFIRSTB,0.923,205.56,3.98,LONG_BUILDUP,70.0,MILD_BULL
IEX,0.612,157.47,0.66,LONG_BUILDUP,127.0,NEUTRAL
INDHOTEL,1.306,118.49,0.59,LONG_BUILDUP,660.0,BULL
INDIANB,0.585,196.8,-6.15,SHORT_BUILDUP,880.0,BEAR
INDIGO,0.796,148.23,-4.83,SHORT_BUILDUP,4450.0,MILD_BEAR
INDUSINDBK,1.037,125.22,8.65,LONG_BUILDUP,900.0,BULL
INDUSTOWER,0.781,125.28,2.49,LONG_BUILDUP,410.0,MILD_BULL
INFY,0.614,163.8,2.44,LONG_BUILDUP,1200.0,NEUTRAL
INOXWIND,0.697,148.94,0.88,LONG_BUILDUP,101.0,NEUTRAL
IOC,0.808,174.08,-0.32,SHORT_BUILDUP,147.0,MILD_BEAR
IREDA,0.754,121.87,-0.8,SHORT_BUILDUP,140.0,MILD_BEAR
IRFC,0.788,150.11,-0.25,SHORT_BUILDUP,106.0,MILD_BEAR
ITC,0.563,99.16,4.41,LONG_BUILDUP,312.5,NEUTRAL
JINDALSTEL,0.954,150.1,-2.13,SHORT_BUILDUP,1250.0,MILD_BEAR
JIOFIN,0.662,202.0,0.55,LONG_BUILDUP,250.0,NEUTRAL
JSWENERGY,0.69,265.74,3.17,LONG_BUILDUP,550.0,NEUTRAL
JSWSTEEL,0.883,378.12,1.03,LONG_BUILDUP,1260.0,MILD_BULL
JUBLFOOD,0.784,142.34,-3.19,SHORT_BUILDUP,480.0,MILD_BEAR
KALYANKJIL,0.667,140.81,2.51,LONG_BUILDUP,420.0,NEUTRAL
KAYNES,0.733,170.08,-4.93,SHORT_BUILDUP,4200.0,MILD_BEAR
KEI,0.818,149.5,1.09,LONG_BUILDUP,4900.0,MILD_BULL
KFINTECH,0.515,252.77,-9.09,SHORT_BUILDUP,950.0,BEAR
KOTAKBANK,0.982,265.2,3.88,LONG_BUILDUP,385.0,MILD_BULL
KPITTECH,0.811,95.72,7.25,LONG_BUILDUP,750.0,MILD_BULL
LAURUSLABS,0.586,157.21,-0.69,SHORT_BUILDUP,1100.0,BEAR
LICHSGFIN,0.664,194.64,3.3,LONG_BUILDUP,550.0,NEUTRAL
LICI,0.655,153.06,-2.43,SHORT_BUILDUP,820.0,BEAR
LODHA,0.595,57.02,7.17,LONG_BUILDUP,900.0,NEUTRAL
LT,0.977,111.83,0.41,LONG_BUILDUP,4100.0,MILD_BULL
LTF,0.823,153.96,-3.46,SHORT_BUILDUP,290.0,MILD_BEAR
LTM,0.693,172.65,-0.85,SHORT_BUILDUP,4300.0,BEAR
LUPIN,0.801,99.05,0.73,LONG_BUILDUP,2300.0,MILD_BULL
M&M,0.891,178.08,2.37,LONG_BUILDUP,3140.0,MILD_BULL
MANAPPURAM,0.537,127.14,2.12,LONG_BUILDUP,280.0,NEUTRAL
MANKIND,1.126,359.55,-0.7,SHORT_BUILDUP,2300.0,NEUTRAL
MARICO,0.786,199.84,-0.53,SHORT_BUILDUP,785.0,MILD_BEAR
MARUTI,0.472,123.18,2.72,LONG_BUILDUP,13200.0,NEUTRAL
MAXHEALTH,0.556,178.72,0.0,SHORT_BUILDUP,1010.0,BEAR
MAZDOCK,0.495,74.85,2.2,LONG_BUILDUP,2720.0,NEUTRAL
MCX,0.758,150.91,7.78,LONG_BUILDUP,2850.0,MILD_BULL
MFSL,1.19,172.9,0.59,LONG_BUILDUP,1600.0,BULL
MIDCPNIFTY,1.025,68.4,0.8,LONG_BUILDUP,13900.0,BULL
MOTHERSON,0.715,114.89,-3.12,SHORT_BUILDUP,125.0,MILD_BEAR
MOTILALOFS,0.738,79.53,3.11,LONG_BUILDUP,800.0,MILD_BULL
MPHASIS,0.679,100.5,5.31,LONG_BUILDUP,2280.0,NEUTRAL
MUTHOOTFIN,0.768,105.04,-1.81,SHORT_BUILDUP,3500.0,MILD_BEAR
NAM-INDIA,0.545,163.35,3.25,LONG_BUILDUP,1000.0,NEUTRAL
NATIONALUM,0.577,113.93,-9.08,SHORT_BUILDUP,425.0,BEAR
NAUKRI,0.464,297.69,-1.15,SHORT_BUILDUP,1000.0,BEAR
NBCC,0.788,146.95,-1.21,SHORT_BUILDUP,95.0,MILD_BEAR
NESTLEIND,0.903,183.94,3.02,LONG_BUILDUP,1430.0,MILD_BULL
NHPC,0.568,323.54,1.8,LONG_BUILDUP,84.0,NEUTRAL
NIFTY,0.983,23.55,0.73,LONG_BUILDUP,24050.0,MILD_BULL
NIFTYNXT50,0.231,57.05,-0.09,SHORT_BUILDUP,69000.0,BEAR
NMDC,0.514,120.12,1.67,LONG_BUILDUP,90.0,NEUTRAL
NTPC,0.436,127.19,-0.14,SHORT_BUILDUP,405.0,BEAR
NUVAMA,0.576,45.91,-1.55,SHORT_BUILDUP,1360.0,BEAR
NYKAA,0.822,132.69,1.42,LONG_BUILDUP,265.0,MILD_BULL
OBEROIRLTY,0.346,124.52,-1.01,SHORT_BUILDUP,1720.0,BEAR
OFSS,0.97,182.13,7.6,LONG_BUILDUP,9200.0,MILD_BULL
OIL,0.524,141.95,3.62,LONG_BUILDUP,495.0,NEUTRAL
ONGC,0.517,95.76,5.76,LONG_BUILDUP,295.0,NEUTRAL
PAGEIND,0.562,124.45,-1.82,SHORT_BUILDUP,37000.0,BEAR
PATANJALI,0.804,90.48,-0.78,SHORT_BUILDUP,490.0,MILD_BEAR
PAYTM,1.105,140.94,-4.36,SHORT_BUILDUP,1110.0,NEUTRAL
PERSISTENT,0.615,119.28,1.45,LONG_BUILDUP,4850.0,NEUTRAL
PETRONET,1.162,111.63,1.58,LONG_BUILDUP,280.0,BULL
PFC,0.563,151.9,-3.9,SHORT_BUILDUP,460.0,BEAR
PGEL,0.975,73.64,-2.02,SHORT_BUILDUP,550.0,MILD_BEAR
PHOENIXLTD,0.733,139.38,-0.33,SHORT_BUILDUP,1800.0,MILD_BEAR
PIDILITIND,0.695,156.43,-0.58,SHORT_BUILDUP,1400.0,BEAR
PIIND,0.558,194.24,-0.16,SHORT_BUILDUP,3100.0,BEAR
PNB,0.831,131.42,-2.96,SHORT_BUILDUP,114.0,MILD_BEAR
PNBHOUSING,0.776,136.82,1.83,LONG_BUILDUP,1030.0,MILD_BULL
POLICYBZR,0.733,220.93,-1.72,SHORT_BUILDUP,1700.0,MILD_BEAR
POLYCAB,1.446,136.95,1.44,LONG_BUILDUP,8000.0,BULL
POWERGRID,0.698,159.55,0.65,LONG_BUILDUP,320.0,NEUTRAL
POWERINDIA,0.87,125.84,4.77,LONG_BUILDUP,32000.0,MILD_BULL
PREMIERENE,0.891,135.2,-0.51,SHORT_BUILDUP,1020.0,MILD_BEAR
PRESTIGE,1.145,105.52,3.63,LONG_BUILDUP,1420.0,BULL
RBLBANK,0.786,90.38,5.38,LONG_BUILDUP,325.0,MILD_BULL
RECLTD,0.618,92.54,-5.15,SHORT_BUILDUP,370.0,BEAR
RELIANCE,0.854,119.9,7.92,LONG_BUILDUP,1400.0,MILD_BULL
RVNL,0.688,246.07,-2.15,SHORT_BUILDUP,300.0,BEAR
SAIL,0.555,90.82,4.23,LONG_BUILDUP,180.0,NEUTRAL
