SYMBOL,EVENT_TYPE,EVENT_DATE,PURPOSE_RAW,DETAIL,SOURCE
VIMTALABS,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
VIJIFIN,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results,Financial Results,NSE_EVENT_CALENDAR
SULA,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results,Financial Results,NSE_EVENT_CALENDAR
SOUTHBANK,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
SNOWMAN,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results,Financial Results,NSE_EVENT_CALENDAR
SHREECEM,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
SATIN,BOARD_MEETING,2026-05-06,Fund Raising,Fund Raising,NSE_EVENT_CALENDAR
RSYSTEMS,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Other business matters,Financial Results/Other business matters,NSE_EVENT_CALENDAR
RSYSTEMS,BOARD_MEETING,2026-05-06,Other business matters,Other business matters,NSE_EVENT_CALENDAR
RSWM,BOARD_MEETING,2026-05-06,Other business matters,Other business matters,NSE_EVENT_CALENDAR
RSWM,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results,Financial Results,NSE_EVENT_CALENDAR
RML,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results,Financial Results,NSE_EVENT_CALENDAR
RML,EX_DIVIDEND,2026-05-06,Dividend,Dividend,NSE_EVENT_CALENDAR
FSL,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results,Financial Results,NSE_EVENT_CALENDAR
RAYMONDLSL,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
EMUDHRA,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
KPITTECH,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
CINEVISTA,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Other business matters,Financial Results/Other business matters,NSE_EVENT_CALENDAR
CYBERMEDIA,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results,Financial Results,NSE_EVENT_CALENDAR
ABREL,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
APCOTEXIND,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
APTUS,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend/Fund Raising,Financial Results/Dividend/Fund Raising,NSE_EVENT_CALENDAR
ARVINDFASN,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
AVALON,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results,Financial Results,NSE_EVENT_CALENDAR
BAJAJ-AUTO,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
BAJAJ-AUTO,BUYBACK,2026-05-06,Buyback,Buyback,NSE_EVENT_CALENDAR
BHANDARI,BOARD_MEETING,2026-05-06,Other business matters,Other business matters,NSE_EVENT_CALENDAR
AFIL,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results,Financial Results,NSE_EVENT_CALENDAR
BHARATSE,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
BLUESTARCO,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
BRIGADE,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend/Bonus,Financial Results/Dividend/Bonus,NSE_EVENT_CALENDAR
BSOFT,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
CANDC,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results,Financial Results,NSE_EVENT_CALENDAR
CAPILLARY,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results,Financial Results,NSE_EVENT_CALENDAR
CESC,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results,Financial Results,NSE_EVENT_CALENDAR
CGPOWER,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results,Financial Results,NSE_EVENT_CALENDAR
PILITA,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results,Financial Results,NSE_EVENT_CALENDAR
PIDILITIND,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
ODIGMA,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Other business matters,Financial Results/Other business matters,NSE_EVENT_CALENDAR
NRBBEARING,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
NOCIL,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
NILASPACES,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results,Financial Results,NSE_EVENT_CALENDAR
MRF,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
KRYSTAL,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
MANAKALUCO,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend/Other business matters,Financial Results/Dividend/Other business matters,NSE_EVENT_CALENDAR
LUPIN,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend/Other business matters,Financial Results/Dividend/Other business matters,NSE_EVENT_CALENDAR
JARO,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results,Financial Results,NSE_EVENT_CALENDAR
KPEL,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend/Other business matters,Financial Results/Dividend/Other business matters,NSE_EVENT_CALENDAR
KARURVYSYA,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
PRUDENT,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
MARALOVER,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results,Financial Results,NSE_EVENT_CALENDAR
ROUTE,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
SURYODAY,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend/Fund Raising,Financial Results/Dividend/Fund Raising,NSE_EVENT_CALENDAR
SIRCA,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend/Other business matters,Financial Results/Dividend/Other business matters,NSE_EVENT_CALENDAR
WONDERLA,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
WESTLIFE,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results,Financial Results,NSE_EVENT_CALENDAR
VTL,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
VMART,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
VIJAYA,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend/Other business matters,Financial Results/Dividend/Other business matters,NSE_EVENT_CALENDAR
THYROCARE,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
THERMAX,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
RSSOFTWARE,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results,Financial Results,NSE_EVENT_CALENDAR
TARACHAND,EX_DIVIDEND,2026-05-07,Dividend,Dividend,NSE_EVENT_CALENDAR
INVENTURE,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Other business matters,Financial Results/Other business matters,NSE_EVENT_CALENDAR
SURAJLTD,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results,Financial Results,NSE_EVENT_CALENDAR
SUNDROP,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results,Financial Results,NSE_EVENT_CALENDAR
STYLAMIND,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results,Financial Results,NSE_EVENT_CALENDAR
STLNETWORK,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results,Financial Results,NSE_EVENT_CALENDAR
SOTL,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend/Other business matters,Financial Results/Dividend/Other business matters,NSE_EVENT_CALENDAR
SONATSOFTW,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
TARACHAND,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results,Financial Results,NSE_EVENT_CALENDAR
INNOVACAP,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Other business matters,Financial Results/Other business matters,NSE_EVENT_CALENDAR
GOACARBON,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
IGL,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
INDOTHAI,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend/Other business matters,Financial Results/Dividend/Other business matters,NSE_EVENT_CALENDAR
OFSS,CORPORATE_ACTION,2026-05-07,,,NSE_CORP_ACTION
ACMESOLAR,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results,Financial Results,NSE_EVENT_CALENDAR
ALLDIGI,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results,Financial Results,NSE_EVENT_CALENDAR
APOLLOPIPE,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend/Other business matters,Financial Results/Dividend/Other business matters,NSE_EVENT_CALENDAR
BAJAJHLDNG,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
BIOCON,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
BRITANNIA,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
BSE,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
CARTRADE,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results,Financial Results,NSE_EVENT_CALENDAR
BHARATFORG,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
COROMANDEL,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
CRAFTSMAN,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend/Other business matters,Financial Results/Dividend/Other business matters,NSE_EVENT_CALENDAR
DABUR,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
ESCORTS,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results,Financial Results,NSE_EVENT_CALENDAR
ESCORTS,EX_DIVIDEND,2026-05-07,Dividend,Dividend,NSE_EVENT_CALENDAR
GATEWAY,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results,Financial Results,NSE_EVENT_CALENDAR
GFSTEELS,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results,Financial Results,NSE_EVENT_CALENDAR
GLOBUSSPR,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
GRAVITA,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results,Financial Results,NSE_EVENT_CALENDAR
CEIGALL,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
HARSHA,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend/Fund Raising,Financial Results/Dividend/Fund Raising,NSE_EVENT_CALENDAR
MANYAVAR,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
LAGNAM,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results,Financial Results,NSE_EVENT_CALENDAR
KSL,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results/Dividend/Other business matters,Financial Results/Dividend/Other business matters,NSE_EVENT_CALENDAR
KALYANKJIL,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
IMPAL,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
IRMENERGY,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
INTELLECT,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
INSPIRISYS,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results,Financial Results,NSE_EVENT_CALENDAR
MUTHOOTCAP,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results,Financial Results,NSE_EVENT_CALENDAR
JSWINFRA,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
GNA,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
UJJIVANSFB,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results/Fund Raising,Financial Results/Fund Raising,NSE_EVENT_CALENDAR
OBEROIRLTY,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results/Dividend/Fund Raising,Financial Results/Dividend/Fund Raising,NSE_EVENT_CALENDAR
ORIENTELEC,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
RAIN,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results,Financial Results,NSE_EVENT_CALENDAR
RENUKA,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results,Financial Results,NSE_EVENT_CALENDAR
SASKEN,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results/Dividend/Other business matters,Financial Results/Dividend/Other business matters,NSE_EVENT_CALENDAR
SBIN,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
SCI,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
SWIGGY,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results,Financial Results,NSE_EVENT_CALENDAR
TATACONSUM,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results/Dividend/Other business matters,Financial Results/Dividend/Other business matters,NSE_EVENT_CALENDAR
TITAN,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
URBANCO,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results,Financial Results,NSE_EVENT_CALENDAR
NIVABUPA,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results,Financial Results,NSE_EVENT_CALENDAR
CREDITACC,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results,Financial Results,NSE_EVENT_CALENDAR
3IINFOLTD,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results/Other business matters,Financial Results/Other business matters,NSE_EVENT_CALENDAR
CHOLAHLDNG,EX_DIVIDEND,2026-05-08,Dividend,Dividend,NSE_EVENT_CALENDAR
CHOLAHLDNG,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results,Financial Results,NSE_EVENT_CALENDAR
NATIONALUM,CORPORATE_ACTION,2026-05-08,,,NSE_CORP_ACTION
LAURUSLABS,CORPORATE_ACTION,2026-05-08,,,NSE_CORP_ACTION
824GS2033,CORPORATE_ACTION,2026-05-08,,,NSE_CORP_ACTION
KSB,CORPORATE_ACTION,2026-05-08,,,NSE_CORP_ACTION
ABB,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results,Financial Results,NSE_EVENT_CALENDAR
AMRUTANJAN,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
761GS2030,CORPORATE_ACTION,2026-05-08,,,NSE_CORP_ACTION
BAJAJHCARE,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
BOMDYEING,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
BANKINDIA,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
BANKBARODA,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
BALKRISIND,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
ARCHIDPLY,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results,Financial Results,NSE_EVENT_CALENDAR
CERA,RESULT_ANNOUNCEMENT,2026-05-08,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
ORIENTPPR,RESULT_ANNOUNCEMENT,2026-05-09,Financial Results/Other business matters,Financial Results/Other business matters,NSE_EVENT_CALENDAR
MOL,RESULT_ANNOUNCEMENT,2026-05-09,Financial Results,Financial Results,NSE_EVENT_CALENDAR
BLUEDART,RESULT_ANNOUNCEMENT,2026-05-09,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
GAEL,RESULT_ANNOUNCEMENT,2026-05-09,Financial Results/Dividend/Other business matters,Financial Results/Dividend/Other business matters,NSE_EVENT_CALENDAR
SHREERAMA,RESULT_ANNOUNCEMENT,2026-05-09,Financial Results,Financial Results,NSE_EVENT_CALENDAR
DLINKINDIA,RESULT_ANNOUNCEMENT,2026-05-09,Financial Results/Dividend/Other business matters,Financial Results/Dividend/Other business matters,NSE_EVENT_CALENDAR
SHREMINVIT,RESULT_ANNOUNCEMENT,2026-05-09,Financial Results,Financial Results,NSE_EVENT_CALENDAR
