SYMBOL,EVENT_TYPE,EVENT_DATE,PURPOSE_RAW,DETAIL,SOURCE
AAKASH,RESULT_ANNOUNCEMENT,2026-05-12,Financial Results/Other business matters,Financial Results/Other business matters,NSE_EVENT_CALENDAR
TMCV,RESULT_ANNOUNCEMENT,2026-05-13,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
TIINDIA,RESULT_ANNOUNCEMENT,2026-05-13,Financial Results/Dividend/Fund Raising,Financial Results/Dividend/Fund Raising,NSE_EVENT_CALENDAR
SMARTLINK,RESULT_ANNOUNCEMENT,2026-05-13,Financial Results/Other business matters,Financial Results/Other business matters,NSE_EVENT_CALENDAR
QPOWER,RESULT_ANNOUNCEMENT,2026-05-13,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
NITCO,RESULT_ANNOUNCEMENT,2026-05-13,Financial Results,Financial Results,NSE_EVENT_CALENDAR
MANINFRA,RESULT_ANNOUNCEMENT,2026-05-13,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
LICHSGFIN,RESULT_ANNOUNCEMENT,2026-05-13,Financial Results/Dividend/Other business matters,Financial Results/Dividend/Other business matters,NSE_EVENT_CALENDAR
JSWDULUX,RESULT_ANNOUNCEMENT,2026-05-13,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
GLAXO,RESULT_ANNOUNCEMENT,2026-05-13,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
CIPLA,RESULT_ANNOUNCEMENT,2026-05-13,Financial Results/Dividend/Other business matters,Financial Results/Dividend/Other business matters,NSE_EVENT_CALENDAR
CROMPTON,RESULT_ANNOUNCEMENT,2026-05-13,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
BHARTIHEXA,RESULT_ANNOUNCEMENT,2026-05-13,Financial Results,Financial Results,NSE_EVENT_CALENDAR
BHARTIARTL,RESULT_ANNOUNCEMENT,2026-05-13,Financial Results,Financial Results,NSE_EVENT_CALENDAR
CARERATING,RESULT_ANNOUNCEMENT,2026-05-13,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
TMPV,RESULT_ANNOUNCEMENT,2026-05-14,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
TIMKEN,RESULT_ANNOUNCEMENT,2026-05-14,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
SAILIFE,RESULT_ANNOUNCEMENT,2026-05-14,Financial Results,Financial Results,NSE_EVENT_CALENDAR
PITTIENG,RESULT_ANNOUNCEMENT,2026-05-14,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
JTEKTINDIA,RESULT_ANNOUNCEMENT,2026-05-14,Financial Results/Dividend/Other business matters,Financial Results/Dividend/Other business matters,NSE_EVENT_CALENDAR
JSWSTEEL,RESULT_ANNOUNCEMENT,2026-05-14,Financial Results,Financial Results,NSE_EVENT_CALENDAR
GESHIP,RESULT_ANNOUNCEMENT,2026-05-14,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
ENDURANCE,RESULT_ANNOUNCEMENT,2026-05-14,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
CLEAN,RESULT_ANNOUNCEMENT,2026-05-14,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
MUKANDLTD,RESULT_ANNOUNCEMENT,2026-05-14,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
ALLCARGO,RESULT_ANNOUNCEMENT,2026-05-14,Financial Results,Financial Results,NSE_EVENT_CALENDAR
679GS2027,CORPORATE_ACTION,2026-05-14,,,NSE_CORP_ACTION
CARBORUNIV,RESULT_ANNOUNCEMENT,2026-05-14,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
