category_code,category_label,is_thematic,nse_group_raw,index_display_name,api_index_symbol,last,percent_change,pe,pb,year_high,year_low
SECTORAL,Sectoral,0,SECTORAL INDICES,NIFTY MIDSMALL IT & TELECOM,NIFTY MS IT TELCM,8484.9,-0.23,58.78,7.95,11723.2,7748.35
SECTORAL,Sectoral,0,SECTORAL INDICES,NIFTY CHEMICALS,NIFTY CHEMICALS,28118.05,0.25,39.52,4.14,31895.45,24851.65
SECTORAL,Sectoral,0,SECTORAL INDICES,NIFTY500 HEALTHCARE,NIFTY500 HEALTH,18898.7,1.79,38.52,5.67,19594.1,16294.6
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY DIVIDEND OPPORTUNITIES 50,NIFTY DIV OPPS 50,6133.8,-1.08,14.81,2.94,6584.65,5614
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY GROWTH SECTORS 15,NIFTY GROWSECT 15,10992.15,-0.88,29.89,7.1,12852.45,10329.35
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY100 QUALITY 30,NIFTY100 QUALTY30,5593.2,-0.49,30.36,7.62,0,0
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY50 VALUE 20,NIFTY50 VALUE 20,12491.95,-0.69,16.65,2.89,13684.4,11528.6
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY50 TR 2X LEVERAGE,NIFTY50 TR 2X LEV,18377.55,-1.7,0,0,22435.45,15547.15
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY50 PR 2X LEVERAGE,NIFTY50 PR 2X LEV,12252.8,-1.7,0,0,14993.4,10365.7
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY50 TR 1X INVERSE,NIFTY50 TR 1X INV,177.6,0.88,0,0,193.35,161.8
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY50 PR 1X INVERSE,NIFTY50 PR 1X INV,217.25,0.86,0,0,236.5,197.8
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY50 DIVIDEND POINTS,NIFTY50 DIV POINT,0,0,0,0,0,0
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY ALPHA 50,NIFTY ALPHA 50,51097.15,-0.49,27.53,4.31,0,0
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY50 EQUAL WEIGHT,NIFTY50 EQL WGT,32444.7,-0.49,25.23,3.81,0,0
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY100 EQUAL WEIGHT,NIFTY100 EQL WGT,33903.5,-0.82,22.73,3.76,0,0
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY100 LOW VOLATILITY 30,NIFTY100 LOWVOL30,19798.5,-0.27,27.19,4.83,0,0
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY200 QUALITY 30,NIFTY200 QUALTY30,20218.1,-0.74,31.14,10.01,0,0
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY ALPHA LOW-VOLATILITY 30,NIFTY ALPHALOWVOL,25844.1,-0.68,30.79,4.61,0,0
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY200 MOMENTUM 30,NIFTY200MOMENTM30,30525.55,-1.28,26.51,4.57,0,0
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY MIDCAP150 QUALITY 50,NIFTY M150 QLTY50,23353.55,-0.72,32.11,7.71,0,0
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY200 ALPHA 30,NIFTY200 ALPHA 30,25402.3,-0.52,23.89,4.21,0,0
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY MIDCAP150 MOMENTUM 50,NIFTYM150MOMNTM50,61804.8,-0.38,32.42,5.07,0,0
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY500 MOMENTUM 50,NIFTY500MOMENTM50,51886.5,-0.91,29.56,4.88,0,0
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100,NIFTYMS400 MQ 100,49340.45,-0.32,29.38,6.36,0,0
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY SMALLCAP250 MOMENTUM QUALITY 100,NIFTYSML250MQ 100,43904.5,-0.49,28.42,4.87,0,0
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY TOP 10 EQUAL WEIGHT,NIFTY TOP 10 EW,8795.2,-0.91,19.29,3.39,0,0
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY ALPHA QUALITY LOW-VOLATILITY 30,NIFTY AQL 30,22304.85,-0.18,32.53,7.69,0,0
