INDEX_NAME,STOCK_SYMBOL
NIFTY MIDSMALL HEALTHCARE,MEDANTA
NIFTY MIDSMALL HEALTHCARE,ASTERDM
NIFTY MIDCAP 100,M&MFIN
NIFTY MIDCAP 100,PATANJALI
NIFTY MIDCAP 100,SBICARD
NIFTY MIDCAP 100,INDUSTOWER
NIFTY MIDCAP 100,LTF
NIFTY MIDCAP 100,MARICO
NIFTY MIDCAP 100,ABCAPITAL
NIFTY MIDCAP 100,MUTHOOTFIN
NIFTY MIDCAP 100,POLICYBZR
NIFTY MIDCAP 100,SUZLON
NIFTY MIDCAP 100,PRESTIGE
NIFTY MIDCAP 100,BSE
NIFTY MIDCAP 100,SRF
NIFTY MIDCAP 100,360ONE
NIFTY MIDCAP 100,PAYTM
NIFTY MIDCAP 100,NATIONALUM
NIFTY MIDCAP 100,MPHASIS
NIFTY MIDCAP 100,AUBANK
NIFTY MIDCAP 100,IDFCFIRSTB
NIFTY MIDCAP 100,ASTRAL
NIFTY MIDCAP 100,HUDCO
NIFTY MIDCAP 100,COLPAL
NIFTY MIDCAP 100,BANKINDIA
NIFTY MIDCAP 100,PERSISTENT
NIFTY MIDCAP 100,OIL
NIFTY MIDCAP 100,BIOCON
NIFTY MIDCAP 100,IDEA
NIFTY MIDCAP 100,INDUSINDBK
NIFTY MIDCAP 100,BHEL
NIFTY MIDCAP 100,GMRAIRPORT
NIFTY MIDCAP 100,SUPREMEIND
NIFTY MIDCAP 100,INDIANB
NIFTY MIDCAP 100,BHARATFORG
NIFTY MIDCAP 100,DIXON
NIFTY MIDCAP 100,NMDC
NIFTY MIDCAP 100,KALYANKJIL
NIFTY MIDCAP 100,DABUR
NIFTY MIDCAP 100,UPL
NIFTY MIDCAP 100,ALKEM
NIFTY MIDCAP 100,UNIONBANK
NIFTY MIDCAP 100,ASHOKLEY
NIFTY MIDCAP 100,COFORGE
NIFTY MIDCAP 100,JUBLFOOD
NIFTY MIDCAP 100,HINDPETRO
NIFTY MIDCAP 100,COCHINSHIP
NIFTY MIDCAP 100,OFSS
NIFTY MIDCAP 100,SAIL
NIFTY MIDCAP 100,NHPC
NIFTY MIDCAP 100,FEDERALBNK
NIFTY MIDCAP 100,IRCTC
NIFTY MIDCAP 100,MFSL
NIFTY MIDCAP 100,GODREJPROP
NIFTY MIDCAP 100,NTPCGREEN
NIFTY MIDCAP 100,HEROMOTOCO
NIFTY MIDCAP 100,TATAELXSI
NIFTY MIDCAP 100,ATGL
NIFTY MIDCAP 100,CUMMINSIND
NIFTY MIDCAP 100,PAGEIND
NIFTY MIDCAP 100,MANKIND
NIFTY MIDCAP 100,EXIDEIND
NIFTY MIDCAP 100,LUPIN
NIFTY MIDCAP 100,APLAPOLLO
NIFTY MIDCAP 100,RVNL
NIFTY MIDCAP 100,NYKAA
NIFTY MIDCAP 100,VOLTAS
NIFTY MIDCAP 100,OBEROIRLTY
NIFTY MIDCAP 100,MRF
NIFTY MIDCAP 100,BHARTIHEXA
NIFTY MIDCAP 100,FORTIS
NIFTY MIDCAP 100,CONCOR
NIFTY MIDCAP 100,PIIND
NIFTY MIDCAP 100,AUROPHARMA
NIFTY MIDCAP 100,PHOENIXLTD
NIFTY MIDCAP 100,LICHSGFIN
NIFTY MIDCAP 100,KPITTECH
NIFTY MIDCAP 100,VMM
NIFTY MIDCAP 100,HDFCAMC
NIFTY MIDCAP 100,YESBANK
NIFTY MIDCAP 100,KEI
NIFTY MIDCAP 100,IRB
NIFTY MIDCAP 100,TATACOMM
NIFTY MIDCAP 100,TORNTPOWER
NIFTY MIDCAP 100,COROMANDEL
NIFTY MIDCAP 100,GLENMARK
NIFTY MIDCAP 100,ACC
NIFTY MIDCAP 100,IGL
NIFTY MIDCAP 100,ITCHOTELS
NIFTY MIDCAP 100,BLUESTARCO
