date_issued,symbol,sector,company,signal,setup_class,investment_score,technical_score,rsi,supertrend_state,price_at_issue,entry_low,entry_high,stop_loss,target_1,target_2,regime_at_issue,fno_pcr,fno_oi_change_5d,fno_buildup,fno_signal,date_resolved,price_at_resolution,return_pct,hit_target,hit_stop,action_bucket,action_reason,fii_flow_signal,insider_alert,insider_score,insider_detail
2026-05-02,SOBHA,Realty,SOBHA LIMITED,SELL,WEAK_TREND,27.57,29.3,67.2,BULLISH,1435.8,1421.44,1437.38,1336.15,1444.6,1634.66,BEAR_TREND,,,,,,,,,,,,,,,
2026-05-02,PRESTIGE,Realty,PRESTIGE ESTATE LTD,SELL,WEAK_TREND,23.39,22.7,61.4,BULLISH,1402.6,1388.57,1416.48,1305.26,1423.6,1596.86,BEAR_TREND,,,,,,,,,,,,,,,
2026-05-02,DLF,Realty,DLF LIMITED,SELL,WEAK_TREND,20.1,22.0,54.0,BULLISH,587.9,582.02,599.66,554.24,614.8,651.48,BEAR_TREND,,,,,,,,,,,,,,,
2026-05-02,ANANTRAJ,Realty,ANANT RAJ LIMITED,SELL,WEAK_TREND,11.16,27.3,51.2,BEARISH,493.1,488.17,502.96,544.78,526.05,346.65,BEAR_TREND,,,,,,,,,,,,,,,
2026-05-03,COALINDIA,Metals & Mining,COAL INDIA LTD,BUY,LEADER_BREAKOUT,80.04,79.3,62.8,BULLISH,467.0,462.33,462.53,436.7,464.85,526.41,BEAR_TREND,0.757,-15.3,SHORT_COVERING,NEUTRAL,,,,,,BUY_WATCH,High-quality breakout with bullish trend and acceptable momentum.,DII_ABSORBING,,,
2026-05-03,CHENNPETRO,Energy - Oil & Gas,CHENNAI PETROLEUM CORP LT,BUY,NEUTRAL,71.01,79.3,58.5,BULLISH,1072.3,1061.58,1093.75,997.89,1103.0,1220.82,BEAR_TREND,,,,,,,,,,WATCHLIST,Mixed setup; wait for cleaner confirmation.,DII_ABSORBING,,,
2026-05-03,ATGL,Energy - Oil & Gas,ADANI TOTAL GAS LIMITED,BUY,NEUTRAL,70.92,77.3,69.5,BULLISH,653.85,647.31,646.25,608.47,649.5,744.41,BEAR_TREND,,,,,,,,,,BREAKOUT_WATCH,Near high/base setup; wait for price and volume breakout confirmation.,DII_ABSORBING,,,
2026-05-03,ONGC,Energy - Oil & Gas,OIL AND NATURAL GAS CORP.,HOLD,NEUTRAL,69.67,64.0,72.3,BULLISH,301.3,298.29,291.54,280.39,293.0,343.03,BEAR_TREND,0.703,-3.58,NEUTRAL,NEUTRAL,,,,,,WATCHLIST,Mixed setup; wait for cleaner confirmation.,DII_ABSORBING,,,
2026-05-03,ASTRAMICRO,Defence & Aerospace,ASTRA MICROWAVE LTD,BUY,NEUTRAL,68.23,66.0,60.6,BULLISH,1096.3,1085.34,1118.23,1027.83,1149.0,1229.11,BEAR_TREND,,,,,,,,,,WATCHLIST,Mixed setup; wait for cleaner confirmation.,DII_ABSORBING,,,
2026-05-03,DATAPATTNS,Defence & Aerospace,DATA PATTERNS INDIA LTD,HOLD,NEUTRAL,66.12,56.7,71.3,BULLISH,4059.9,4019.3,4141.1,3778.14,4189.9,4622.2,BEAR_TREND,,,,,,,,,,WATCHLIST,Mixed setup; wait for cleaner confirmation.,DII_ABSORBING,,,
2026-05-03,KIRLOSENG,Energy - Oil & Gas,KIRLOSKAR OIL ENG LTD,HOLD,NEUTRAL,65.87,53.3,72.2,BULLISH,1724.4,1707.16,1688.22,1604.73,1696.7,1963.23,BEAR_TREND,,,,,,,,,,BREAKOUT_WATCH,Near high/base setup; wait for price and volume breakout confirmation.,DII_ABSORBING,,,
2026-05-03,AZAD,Defence & Aerospace,AZAD ENGINEERING LIMITED,HOLD,NEUTRAL,65.12,58.0,79.3,BULLISH,2201.0,2178.99,2238.75,2048.25,2250.0,2505.84,BEAR_TREND,,,,,,,,,,WATCHLIST,Mixed setup; wait for cleaner confirmation.,DII_ABSORBING,,,
2026-05-03,OIL,Energy - Oil & Gas,OIL INDIA LTD,HOLD,LEADER_BREAKOUT,63.69,54.0,62.6,BULLISH,497.2,492.23,490.04,462.7,492.5,566.06,BEAR_TREND,0.529,2.0,NEUTRAL,NEUTRAL,,,,,,WATCHLIST,Mixed setup; wait for cleaner confirmation.,DII_ABSORBING,,,
2026-05-03,WELCORP,Metals & Mining,WELSPUN CORP LIMITED,WEAK_HOLD,NEUTRAL,63.5,47.3,88.7,BULLISH,1226.4,1214.14,1228.78,1141.29,1234.95,1396.26,BEAR_TREND,,,,,,,,,,BREAKOUT_WATCH,Near high/base setup; wait for price and volume breakout confirmation.,DII_ABSORBING,,,
2026-05-03,IMFA,Metals & Mining,INDIAN METALS & FERRO,BUY,NEUTRAL,63.3,65.3,71.7,BULLISH,1631.9,1615.58,1579.06,1518.65,1587.0,1857.92,BEAR_TREND,,,,,,,,,,BREAKOUT_WATCH,Near high/base setup; wait for price and volume breakout confirmation.,DII_ABSORBING,,,
2026-05-03,WEBELSOLAR,Defence & Aerospace,WEBSOL ENERGY SYSTEM LTD,WEAK_HOLD,NEUTRAL,63.2,41.3,83.9,BULLISH,122.2,120.98,115.81,113.72,116.39,139.13,BEAR_TREND,,,,,,,,,,BREAKOUT_WATCH,Near high/base setup; wait for price and volume breakout confirmation.,DII_ABSORBING,,,
2026-05-03,NATIONALUM,Metals & Mining,NATIONAL ALUMINIUM CO LTD,HOLD,NEUTRAL,63.19,55.3,65.7,BULLISH,441.5,437.08,442.92,410.86,445.15,502.64,BEAR_TREND,0.677,-1.77,NEUTRAL,NEUTRAL,,,,,,BREAKOUT_WATCH,Near high/base setup; wait for price and volume breakout confirmation.,DII_ABSORBING,,,
2026-05-03,TATAPOWER,Energy - Power,TATA POWER CO LTD,HOLD,NEUTRAL,62.07,56.7,80.3,BULLISH,461.8,457.18,453.67,429.75,455.95,525.76,BEAR_TREND,0.749,-2.63,NEUTRAL,NEUTRAL,,,,,,BREAKOUT_WATCH,Near high/base setup; wait for price and volume breakout confirmation.,DII_ABSORBING,,,
